iter	Passed	Remaining
0	28	85206
1	61	91983
2	80	80395
3	96	71973
4	112	67351
5	128	64088
6	144	61896
7	160	59976
8	174	57986
9	190	56991
10	206	56163
11	223	55563
12	238	54727
13	252	53848
14	268	53423
15	283	52954
16	299	52579
17	315	52273
18	330	51890
19	346	51699
20	362	51443
21	377	51130
22	395	51126
23	419	51960
24	437	52052
25	455	52126
26	471	51964
27	488	51812
28	504	51662
29	519	51402
30	533	51135
31	549	51006
32	566	50909
33	581	50733
34	597	50603
35	613	50481
36	628	50329
37	643	50183
38	659	50097
39	675	49970
40	691	49920
41	708	49890
42	723	49786
43	740	49754
44	756	49700
45	772	49614
46	787	49452
47	803	49397
48	817	49258
49	834	49214
50	848	49070
51	863	48971
52	880	48945
53	895	48845
54	911	48784
55	926	48712
56	942	48650
57	958	48604
58	975	48644
59	995	48767
60	1011	48753
61	1026	48663
62	1043	48655
63	1059	48609
64	1075	48546
65	1091	48509
66	1109	48566
67	1128	48640
68	1144	48624
69	1159	48554
70	1177	48558
71	1194	48568
72	1226	49181
73	1247	49307
74	1270	49544
75	1293	49777
76	1312	49815
77	1329	49798
78	1346	49799
79	1362	49725
80	1377	49658
81	1395	49651
82	1414	49705
83	1429	49638
84	1446	49590
85	1461	49510
86	1478	49496
87	1496	49520
88	1512	49472
89	1528	49430
90	1544	49364
91	1559	49278
92	1576	49273
93	1592	49223
94	1608	49179
95	1625	49172
96	1641	49135
97	1656	49054
98	1673	49029
99	1689	48995
100	1705	48958
101	1721	48909
102	1736	48851
103	1752	48798
104	1767	48740
105	1784	48707
106	1800	48673
107	1823	48840
108	1842	48878
109	1862	48939
110	1880	48953
111	1897	48920
112	1912	48862
113	1928	48815
114	1944	48777
115	1959	48726
116	1974	48664
117	1990	48615
118	2006	48571
119	2020	48496
120	2037	48470
121	2052	48424
122	2060	48184
123	2074	48119
124	2089	48056
125	2104	48013
126	2120	47970
127	2136	47946
128	2155	47961
129	2172	47962
130	2189	47952
131	2205	47929
132	2223	47926
133	2239	47902
134	2255	47871
135	2272	47854
136	2288	47825
137	2305	47815
138	2320	47766
139	2337	47741
140	2352	47705
141	2368	47666
142	2384	47636
143	2400	47617
144	2415	47567
145	2430	47516
146	2446	47482
147	2461	47440
148	2477	47403
149	2493	47368
150	2509	47354
151	2527	47356
152	2542	47316
153	2559	47293
154	2575	47269
155	2590	47226
156	2605	47180
157	2620	47137
158	2635	47091
159	2651	47061
160	2667	47030
161	2683	47003
162	2698	46975
163	2715	46957
164	2731	46932
165	2747	46909
166	2763	46887
167	2779	46848
168	2794	46803
169	2811	46800
170	2827	46771
171	2842	46742
172	2858	46715
173	2874	46679
174	2889	46650
175	2907	46644
176	2923	46631
177	2943	46660
178	2958	46630
179	2974	46596
180	2989	46567
181	3006	46545
182	3022	46519
183	3037	46489
184	3054	46473
185	3069	46441
186	3085	46421
187	3102	46411
188	3116	46358
189	3133	46337
190	3148	46305
191	3165	46291
192	3181	46271
193	3197	46246
194	3213	46229
195	3229	46206
196	3244	46166
197	3259	46129
198	3274	46093
199	3290	46060
200	3304	46019
201	3320	45993
202	3335	45963
203	3351	45937
204	3366	45900
205	3382	45873
206	3398	45848
207	3413	45814
208	3429	45796
209	3446	45788
210	3461	45757
211	3477	45727
212	3493	45706
213	3508	45681
214	3523	45646
215	3539	45619
216	3554	45585
217	3569	45558
218	3585	45525
219	3600	45495
220	3617	45484
221	3633	45465
222	3648	45435
223	3664	45418
224	3681	45408
225	3704	45464
226	3721	45462
227	3736	45428
228	3752	45406
229	3767	45372
230	3783	45351
231	3799	45326
232	3817	45338
233	3833	45318
234	3849	45289
235	3864	45258
236	3880	45242
237	3895	45207
238	3911	45184
239	3927	45164
240	3942	45136
241	3958	45114
242	3974	45096
243	3989	45065
244	4005	45037
245	4021	45015
246	4037	44998
247	4051	44962
248	4066	44925
249	4081	44894
250	4097	44880
251	4112	44845
252	4127	44819
253	4144	44806
254	4160	44781
255	4175	44753
256	4190	44729
257	4206	44707
258	4221	44675
259	4237	44660
260	4252	44624
261	4266	44589
262	4282	44564
263	4297	44540
264	4313	44523
265	4330	44510
266	4346	44492
267	4362	44467
268	4377	44444
269	4398	44469
270	4412	44435
271	4428	44415
272	4444	44400
273	4461	44382
274	4476	44360
275	4493	44345
276	4509	44326
277	4525	44306
278	4544	44322
279	4559	44295
280	4574	44267
281	4590	44245
282	4605	44212
283	4621	44201
284	4637	44177
285	4653	44158
286	4670	44153
287	4687	44140
288	4704	44128
289	4719	44099
290	4734	44077
291	4750	44052
292	4765	44032
293	4781	44010
294	4798	43996
295	4815	43988
296	4832	43979
297	4848	43964
298	4864	43945
299	4880	43924
300	4896	43906
301	4913	43893
302	4929	43874
303	4947	43875
304	4964	43870
305	4982	43869
306	5000	43866
307	5018	43862
308	5037	43874
309	5053	43851
310	5069	43828
311	5083	43797
312	5099	43775
313	5114	43751
314	5130	43731
315	5146	43713
316	5162	43692
317	5177	43669
318	5194	43656
319	5204	43589
320	5220	43571
321	5236	43552
322	5251	43527
323	5267	43502
324	5284	43491
325	5299	43466
326	5313	43437
327	5329	43414
328	5344	43393
329	5361	43376
330	5377	43361
331	5394	43349
332	5412	43349
333	5430	43347
334	5447	43334
335	5467	43346
336	5487	43363
337	5506	43368
338	5535	43448
339	5567	43554
340	5592	43605
341	5618	43666
342	5650	43767
343	5670	43779
344	5693	43816
345	5719	43872
346	5743	43913
347	5765	43938
348	5794	44016
349	5821	44075
350	5841	44083
351	5861	44095
352	5881	44101
353	5900	44101
354	5918	44094
355	5937	44097
356	5955	44090
357	5972	44075
358	5988	44053
359	6005	44042
360	6023	44029
361	6039	44008
362	6055	43992
363	6070	43963
364	6086	43942
365	6101	43910
366	6117	43890
367	6132	43863
368	6148	43842
369	6165	43822
370	6181	43800
371	6195	43771
372	6212	43750
373	6234	43774
374	6253	43773
375	6270	43759
376	6287	43746
377	6303	43724
378	6319	43700
379	6334	43676
380	6350	43651
381	6366	43631
382	6382	43613
383	6398	43591
384	6416	43580
385	6432	43564
386	6449	43545
387	6464	43517
388	6480	43495
389	6495	43467
390	6511	43446
391	6526	43423
392	6541	43394
393	6555	43362
394	6571	43340
395	6588	43322
396	6605	43307
397	6620	43285
398	6636	43259
399	6650	43229
400	6667	43213
401	6683	43193
402	6698	43165
403	6714	43145
404	6730	43126
405	6746	43106
406	6763	43088
407	6779	43069
408	6821	43215
409	6844	43237
410	6860	43217
411	6876	43194
412	6893	43178
413	6909	43162
414	6925	43140
415	6941	43115
416	6958	43100
417	6974	43078
418	6989	43057
419	7005	43033
420	7021	43011
421	7038	42997
422	7054	42976
423	7073	42973
424	7089	42953
425	7105	42930
426	7120	42906
427	7136	42887
428	7153	42872
429	7169	42848
430	7185	42832
431	7202	42814
432	7217	42790
433	7233	42768
434	7249	42746
435	7265	42725
436	7281	42706
437	7297	42687
438	7314	42668
439	7331	42655
440	7348	42643
441	7365	42626
442	7381	42607
443	7397	42588
444	7413	42567
445	7429	42544
446	7445	42521
447	7460	42498
448	7476	42475
449	7491	42453
450	7507	42434
451	7524	42418
452	7539	42390
453	7554	42363
454	7569	42341
455	7585	42319
456	7601	42297
457	7616	42272
458	7633	42256
459	7648	42231
460	7664	42211
461	7681	42195
462	7697	42176
463	7712	42153
464	7727	42129
465	7744	42110
466	7759	42086
467	7775	42065
468	7793	42057
469	7809	42037
470	7825	42018
471	7840	41994
472	7857	41979
473	7874	41964
474	7889	41938
475	7905	41919
476	7922	41904
477	7938	41885
478	7953	41861
479	7970	41844
480	7985	41818
