run_id,git_sha,git_branch,dirty_repo,data_hash,config_hash,seed,cv_rmse,lb_score,model_path,submission_path,started_at
20260219-1146_98a759c_per_market_v1,98a759c,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,72c8a95a0e55f5a39522c5d61228f9d3dfd4e1510dfc3126f3a5ed89de4c7f52,42,133.201734,,runs/20260219-1146_98a759c_per_market_v1/models_manifest.txt,runs/20260219-1146_98a759c_per_market_v1/submission.csv,2026-02-19T10:46:04.443227+00:00
20260219-1345_98a759c_per_market_v1,98a759c,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,0debfc9bea3f382acbd078eec30e13b3e07601e26f68426cb05bbd3aeca2fa0e,42,70.677893,,runs/20260219-1345_98a759c_per_market_v1/models_manifest.txt,runs/20260219-1345_98a759c_per_market_v1/submission.csv,2026-02-19T12:45:53.794961+00:00
20260219-1642_5599aaf_per_market_v1,5599aaf,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,2d620e4faeee9106dd5a3e227c44d242329dbbd06a9089b3b3e17226498b0b30,42,133.201734,,runs/20260219-1642_5599aaf_per_market_v1/models_manifest.txt,runs/20260219-1642_5599aaf_per_market_v1/submission.csv,2026-02-19T15:42:01.918977+00:00
20260219-1705_92239c7_per_market_v1,92239c7,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,425347c3b5981962d4d200537337bd4205cba9aa2c03d72acc5711f6cbe83822,42,70.677893,,runs/20260219-1705_92239c7_per_market_v1/models_manifest.txt,runs/20260219-1705_92239c7_per_market_v1/submission.csv,2026-02-19T16:05:49.663715+00:00
20260219-1741_c3b064f_per_market_v2,c3b064f,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,0cd5a3e3db3e9d49e92737396de913edeacfd7692a1eb1ce273ba6039eca14e5,42,71.104946,,runs/20260219-1741_c3b064f_per_market_v2/models_manifest.txt,runs/20260219-1741_c3b064f_per_market_v2/submission.csv,2026-02-19T16:41:00.021178+00:00
20260219-1809_c3b064f_per_market_v2,c3b064f,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,4e770fac0d803442cef22757dbde07198eed90a51fc727d1541598ba56d325a9,42,48.992832,,runs/20260219-1809_c3b064f_per_market_v2/models_manifest.txt,runs/20260219-1809_c3b064f_per_market_v2/submission.csv,2026-02-19T17:09:34.188526+00:00
20260219-1826_c33f25d_per_market_v2_noglobaldelta,c33f25d,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,6f86dfad80d6c69b82870d1e87f2780e9871ec26720e59c4fa54bb2d69daf121,42,56.405824,,runs/20260219-1826_c33f25d_per_market_v2_noglobaldelta/models_manifest.txt,runs/20260219-1826_c33f25d_per_market_v2_noglobaldelta/submission.csv,2026-02-19T17:26:38.333928+00:00
20260219-1835_c33f25d_per_market_v2_with_globaldelta,c33f25d,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,58063395f180fbe1d0e07d2fb267a22f693bf4f73e43d04dd606734386b2a94d,42,56.405824,,runs/20260219-1835_c33f25d_per_market_v2_with_globaldelta/models_manifest.txt,runs/20260219-1835_c33f25d_per_market_v2_with_globaldelta/submission.csv,2026-02-19T17:35:10.002276+00:00
20260219-1848_fd873d2_per_market_v2_peakexpert,fd873d2,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,d5a0a7d542051f08782d89113b08b0bb4412d1b3f1b68294b40a0598b2d902ba,42,55.523149,,runs/20260219-1848_fd873d2_per_market_v2_peakexpert/models_manifest.txt,runs/20260219-1848_fd873d2_per_market_v2_peakexpert/submission.csv,2026-02-19T17:48:40.567335+00:00
20260219-1904_6e61965_per_market_v2_peak_horizon,6e61965,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,7d2f6ad4e3a2b37dbc0839953bc96579bab3db86a9c6c3e6d5faf12c558f8a83,42,55.523149,,runs/20260219-1904_6e61965_per_market_v2_peak_horizon/models_manifest.txt,runs/20260219-1904_6e61965_per_market_v2_peak_horizon/submission.csv,2026-02-19T18:04:01.749643+00:00
20260219-1916_6e61965_per_market_v2_exoglags,6e61965,main,true,d5d1c3bfcb4b55a8161356b389073d4eb23cae10fbb5f28f06ddbbdee1211ace,97d03766a265e04e325ec35fed1927161ee2f3bc7682737af88967d971e35cbf,42,58.865053,,runs/20260219-1916_6e61965_per_market_v2_exoglags/models_manifest.txt,runs/20260219-1916_6e61965_per_market_v2_exoglags/submission.csv,2026-02-19T18:16:53.940312+00:00
