feature,mean_delta,median_delta,std_delta,positive_fold_count,n_folds
wind_forecast_diff_6,3.8849271876122784,1.945511737859448,5.614270243092736,3,5
wind_forecast_diff_1,3.7752287436602514,0.19391491277764317,6.031286671567564,4,5
solar_forecast_diff_1,3.548756366003326,0.6349633855914334,7.013173273694533,5,5
load_forecast_lag_168,3.2914940931950767,0.12385647689019663,5.4801514770224244,4,5
load_forecast_diff_24,3.156894801110583,0.09260001838960363,5.852257799389069,3,5
wind_speed_80m,2.6689892785432034,-0.10469749980733667,6.882832356428521,2,5
load_forecast,2.5466746569674314,-0.001579751501523674,6.308174667640342,2,5
solar_forecast_xmk_mean,2.4574948640755947,-0.22516845545704456,5.852318972984827,2,5
wind_speed_80m_xmk_std,2.387101966003135,0.08541132626834269,5.663825038050378,3,5
wind_forecast_roll_std_6,1.8586631837244212,0.002912605063158935,4.189086705757612,3,5
solar_forecast_lag_24,1.6713060819858043,0.3505594282121791,3.933153014823747,4,5
wind_forecast_lag_6,1.493683756942805,1.1055718097255465,1.5012175348254169,5,5
wind_forecast_lag_2,1.2825559337899464,-0.06892658400624185,7.5067911850654365,2,5
load_forecast_roll_mean_72,1.1347356047525126,0.10633238360009045,2.322278858755586,4,5
wind_forecast_roll_mean_24,1.0576892310654955,0.9027935493268373,1.3638747452318383,4,5
wind_forecast_roll_std_72,1.0453600303254504,0.016760814974027483,2.3697676746326732,4,5
solar_forecast_diff_6,0.8537462054255215,0.08501466372116084,1.9036470564834118,3,5
convective_available_potential_energy,0.8387506698884281,0.20661998487463507,1.2181019599114045,4,5
convective_inhibition,0.6986370514353268,0.05353333222740986,1.4439076590524513,3,5
air_temperature_2m_xmk_std,0.6089082885893632,-0.0029589054299279383,1.4006086190685825,2,5
wind_forecast_lag_48,0.5957029743055997,0.046964977014937404,1.128274011316566,3,5
air_temperature_2m_xmk_mean,0.5429007788198248,0.05157062442725646,1.278210669210191,3,5
wind_forecast_roll_mean_72,0.5243087391538779,0.12459121036654608,0.9669721792100463,3,5
load_forecast_lag_24,0.45177626819303923,0.00966055847065661,1.493559707067412,3,5
solar_forecast_roll_mean_6,0.3945755263964088,0.1248033170761289,0.40652410455725907,5,5
global_horizontal_irradiance,0.38175441491395645,0.034124259188551775,9.69661990670817,3,5
apparent_temperature_2m,0.34251403855945883,-0.07430912622890418,1.4213518854949008,2,5
solar_forecast_lag_2,0.32172959881665264,0.014860047351774597,1.2531640958073105,3,5
temp_apparent_gap,0.2477740116189139,0.20822182401461475,0.22299599976967552,5,5
solar_forecast_lag_6,0.20886107368970386,0.35553599453152174,0.2515949964334756,3,5
load_forecast_roll_std_6,0.18480692183833725,0.029183983866104768,1.8349219214475383,3,5
wind_speed_80m_xmk_mean,0.18273328438906447,0.33222893708101964,0.4597553954236409,4,5
solar_forecast_roll_mean_72,0.17971212628800828,0.005066333171782844,0.3831174093037665,3,5
wind80_x_residual_load,0.17963375888858907,0.08256690123418764,0.23045284019856513,3,5
cloud_cover_high,0.17317732509617373,0.020436120524685464,0.41950537953289646,4,5
solar_forecast_roll_std_6,0.10918537713473882,-0.024014574755284457,0.29736213401882666,2,5
wind_forecast_xmk_z,0.09654270375116028,0.05642952476687668,0.1372968469423023,4,5
residual_load_roll_mean_24,0.07836558325335403,0.29070094453513207,0.7803971000498543,4,5
wind_speed_80m_xmk_z,0.0749672907207369,-0.030066060881182466,0.34558148392575494,2,5
lifted_index,0.07274704586807416,0.008141119830582966,0.48497488545296735,3,5
wind_forecast_xmk_diff,0.0700656063893291,0.018934683544877373,0.19859655201835844,4,5
load_forecast_roll_std_72,0.06878920802570435,-0.004944245205784625,0.3980649763713304,2,5
month_x_market,0.0598976383195378,-0.010984115620004786,0.21556883082674125,2,5
residual_load_diff_6,0.058758295820241814,-0.013258720083655362,0.43880813245870653,2,5
solar_forecast_roll_std_72,0.05430039010132219,0.009880692391149637,0.09932733905248721,4,5
load_forecast_roll_std_24,0.043798825365398385,-0.0010910178414746952,0.14091716220462194,2,5
wind_speed_80m_xmk_diff,0.04228222293559867,-0.03966113122320536,0.11957507695978295,2,5
month_sin,0.04146049258801412,0.0,0.0920049171071314,2,5
precipitation_amount_xmk_diff,0.021107941533311702,-0.00016922237400507356,0.05565285490968586,2,5
precipitation_amount_xmk_std,0.018960296283647437,0.0010108078040502733,0.0676549992471103,3,5
wind_forecast_roll_mean_6,0.016132665271479142,0.019704781537150495,0.8012910156044012,3,5
solar_forecast_roll_std_24,0.01233918088667707,-0.011812425156293216,0.08146908342941837,2,5
precipitation_amount_xmk_z,0.003496869851534257,-0.000523964940569499,0.03813591259069273,2,5
precipitation_amount,0.0034631835131108345,-1.6094355387963333e-05,0.007940550882170553,2,5
month_cos,0.002469347397108379,0.0,0.004130763997055674,2,5
is_morning_peak,0.0022628811893184776,-0.004612383436011669,0.023450958143414122,2,5
is_evening_peak,0.0018337428831387114,0.0029294896744147536,0.011555944339083779,4,5
residual_load_xmk_diff,0.0013831898925445786,-0.002227146329886409,0.024430662993394744,2,5
meteo_missing_any,0.00012476533774758992,0.0,0.00027898377643933157,1,5
wind_forecast_xmk_std,0.0,0.0,0.0,0,5
residual_load_xmk_std,0.0,0.0,0.0,0,5
solar_forecast_xmk_std,0.0,0.0,0.0,0,5
is_winter,0.0,0.0,0.0,0,5
load_forecast_xmk_std,0.0,0.0,0.0,0,5
month,-0.0010940304354448926,0.0,0.0022590816107150736,0,5
load_forecast_roll_mean_6,-0.001107624273959118,0.07754081428366533,0.13658735959371476,3,5
is_18_19,-0.0013090548235140886,0.0,0.0054335603063497655,1,5
is_peak_17_20,-0.002640483140719141,-0.0014111689843900876,0.00480376509131359,2,5
is_night,-0.0029681713195941484,0.0,0.00663703283947777,0,5
residual_load_roll_mean_72,-0.0037860017482131527,0.02161462165693706,0.2015770580102739,3,5
is_weekend,-0.0038062656750753377,-0.0015885832533939492,0.014951918804182493,2,5
load_forecast_xmk_z,-0.004360812660023328,-0.004146006809541802,0.004071999133502873,0,5
wet_bulb_temperature_2m,-0.005438233382231772,0.060324711206874326,0.2265610784495508,3,5
cloud_cover_mid,-0.008627783769530595,-0.0135480370798291,0.016244466379040274,1,5
precipitation_amount_xmk_mean,-0.015523229284723073,0.0009604539025858116,0.04736443449704167,3,5
solar_forecast_xmk_z,-0.025168066090206765,-0.0252193867887911,0.014874140809393107,0,5
meteo_missing_count,-0.028711977019034406,0.0,0.06420193238297271,0,5
weekofyear,-0.029421332770377263,-0.009965100820814143,0.05767546824246825,1,5
hour_sin,-0.03125729920271993,-0.022875106570559467,0.06503148249049479,2,5
cloud_cover_total,-0.032219118263770954,0.010041678877499294,0.5815813850401346,3,5
solar_forecast_roll_mean_24,-0.033804639499162195,-0.010053575782272617,0.05993400796416957,2,5
residual_load_roll_std_6,-0.03525975727736323,-0.027947639492296616,0.042049220831778984,1,5
hour_cos,-0.044963093659052336,-0.027620184384772983,0.05212764898551019,0,5
load_forecast_xmk_diff,-0.05255490779139223,-0.005925991380209439,0.10806930702941267,1,5
solar_forecast_xmk_diff,-0.05482671871472178,-0.02429908047989926,0.06917071265548441,1,5
cloud_cover_total_xmk_std,-0.05754655430017266,-0.02235018363759167,0.2789439539178766,2,5
residual_load_xmk_z,-0.06135495916596199,0.006913835817009328,0.17109356975126516,3,5
relative_humidity_2m,-0.06275945189034644,-0.04373675180169556,0.2794260101311403,2,5
gust_ratio_10m,-0.06352154111442729,-0.036162198235352605,0.15947655724041696,2,5
cloud_cover_total_xmk_diff,-0.06560472453752766,-0.011688763560016469,0.290135666912735,2,5
air_temperature_2m_xmk_z,-0.07736880809675598,-0.0677990205361425,0.03708370503966701,0,5
hour_x_market,-0.07928891564612428,-0.007623460981811547,0.17778630760476385,2,5
load_forecast_roll_mean_24,-0.08827674473777591,-0.008056825344034735,0.6437052005153897,1,5
air_temperature_2m_xmk_diff,-0.10587537115389267,-0.03210400659036594,0.25442014918308087,1,5
