market,feature,mean_abs_shap
Market A,wind_speed_10m,0.018226323003480677
Market A,target_profile_m_dyn_mean,0.017464450954582808
Market A,residual_load_roll_std_72,0.01157664225944292
Market A,air_temperature_2m_anom_168,0.011398909982041006
Market A,surface_pressure,0.011069868996185901
Market A,wind_dir_cos,0.011039131471516701
Market A,load_forecast_diff_24,0.010829271011945068
Market A,wind_speed_80m_xmk_std,0.010675974404629734
Market A,wind_forecast_roll_mean_72,0.010408371046389935
Market A,target_profile_m_dyn_sq_mean,0.01026559035303268
Market A,cloud_cover_total_xmk_std,0.010175954853956235
Market A,wind_forecast_lag_24,0.009943763671364169
Market A,wind_speed_80m_anom_168,0.009803033036538409
Market A,wind_speed_80m_xmk_mean,0.009328652119851231
Market A,wind_forecast_roll_std_72,0.009224827494305178
Market A,wind80_x_residual_load,0.009142840405327703
Market A,residual_load_roll_std_24,0.009127870109996567
Market A,wind_forecast_lag_168,0.008969802629258712
Market A,ws_ratio_80_10,0.008961575654467445
Market A,lifted_index,0.008762470929650306
Market A,wind_forecast_diff_24,0.008565518436295869
Market A,solar_forecast_roll_mean_24,0.008562558094023872
Market A,net_load_share,0.008370716741549806
Market A,air_temperature_2m_xmk_std,0.008269574003969443
Market A,load_forecast_lag_48,0.008094536312257046
Market A,air_temperature_2m_xmk_diff,0.008040708548413104
Market A,solar_forecast_roll_std_24,0.007999914556421716
Market A,solar_forecast_roll_mean_72,0.007780670449592588
Market A,wind_forecast_lag_48,0.007608903620725741
Market A,load_forecast_roll_mean_24,0.007578777189218857
Market A,solar_forecast_lag_168,0.007481671360124191
Market A,target_profile_m_dyn_std,0.007413752059635803
Market A,load_forecast_roll_std_24,0.007323530792709882
Market A,solar_forecast_roll_std_72,0.007300959932038941
Market A,target_profile_m_dyn_count,0.007166027559990649
Market A,wind_forecast_diff_6,0.007056998040640737
Market A,month_x_market,0.007051638978581049
Market A,load_forecast_roll_mean_72,0.006927754877056952
Market A,residual_load_diff_1,0.0069054003934902975
Market A,wind_forecast_roll_mean_24,0.006899535545645917
Market A,target_profile_m_dyn_rms,0.006854764659418735
Market A,solar_forecast_z_168,0.006829817107246612
Market A,residual_load_diff_24,0.006818634128767833
Market A,wind_forecast_anom_24,0.006740358260194312
Market A,wind_speed_80m_xmk_z,0.006721013227284641
Market A,air_temperature_2m_z_168,0.006640748137177365
Market A,air_temperature_2m_xmk_z,0.006539037189780999
Market A,wind_forecast_roll_std_24,0.006467467622232465
Market A,dow_x_market,0.006298791226109465
Market A,weekofyear,0.00620541808681688
Market A,wind_speed_80m_anom_24,0.006174473889278288
Market A,solar_forecast_anom_168,0.005681933369868272
Market A,wind_speed_80m_z_168,0.005621349491685546
Market A,dew_point_temperature_2m,0.005491977883156259
