market,feature,mean_abs_shap
Market A,net_load_share,0.8203264056483441
Market A,solar_forecast_z_168,0.7998986282870957
Market A,solar_forecast_roll_std_24,0.7831184628217948
Market A,solar_forecast_anom_168,0.6930507243824402
Market A,wind_dir_sin,0.6301675611104197
Market A,solar_forecast_diff_24,0.6085705499545256
Market A,wind_forecast_diff_24,0.6012355636825332
Market A,load_forecast_z_168,0.5586384040782006
Market A,air_temperature_2m_anom_168,0.5518115091298302
Market A,residual_load_roll_std_72,0.5483235540888886
Market A,target_profile_mh_dyn_count,0.5306212678573564
Market A,gustiness_10m,0.517571065193297
Market A,freezing_level_height,0.5149814971558502
Market A,lifted_index,0.5117954317357227
Market A,wind_forecast_lag_168,0.49517874230091413
Market A,solar_forecast_roll_mean_24,0.4750633503940005
Market A,solar_forecast_roll_std_72,0.42984816464621645
Market A,residual_load_roll_std_24,0.42948500546002905
Market A,wind_forecast_roll_mean_72,0.4246273767658917
Market A,wind_speed_10m,0.42048450423867006
Market A,solar_forecast_anom_24,0.4090003004276918
Market A,target_profile_m_dyn_count,0.39398788315209365
Market A,residual_load_roll_mean_24,0.3926298446089028
Market A,solar_forecast_roll_mean_72,0.3922515128356278
Market A,load_forecast_anom_168,0.38685935030843105
Market A,surface_pressure,0.3796766403598032
Market A,wind_gust_speed_10m,0.363770960401936
Market A,wind_forecast_roll_mean_6,0.3603347523825046
Market A,weekofyear,0.3576126197795732
Market A,cloud_cover_total_xmk_diff,0.3504009533281672
Market A,residual_load_diff_24,0.34328431825892
Market A,load_forecast_roll_mean_72,0.342643347042482
Market A,wind_forecast_anom_24,0.3370065956110843
Market A,visibility,0.32797649015420727
Market A,wind_direction_80m,0.32582458409840864
Market A,wind_speed_80m_xmk_mean,0.31782899913851576
Market A,residual_load,0.3076594807181071
Market A,air_temperature_2m_xmk_mean,0.30567970641479886
Market A,wind_forecast_lag_24,0.30301733697941
Market A,air_temperature_2m_xmk_diff,0.3025281304405707
Market A,load_forecast_roll_std_24,0.301770001908979
Market A,load_forecast_roll_mean_24,0.2967916376603686
Market A,month_x_market,0.2904708037781105
Market A,air_temperature_2m_xmk_std,0.28247073110979565
Market A,solar_share,0.27372843823927645
Market A,load_forecast_roll_std_72,0.2684137411530447
Market A,load_forecast_lag_168,0.2647608472705786
Market A,air_temperature_2m_z_168,0.25929414757582997
Market A,wind_forecast_roll_std_6,0.2590963124861454
Market A,wind_forecast_diff_1,0.25736196790572063
Market A,residual_load_lag_24,0.24409028555987494
Market A,ws_ratio_80_10,0.23807925128475843
Market A,wind_forecast_roll_std_72,0.23581774991381968
Market A,solar_forecast_roll_std_6,0.23454365194761378
Market A,load_forecast_diff_24,0.23371022607407088
Market A,wind_forecast_lag_48,0.23332338527272686
Market A,target_profile_mhd_dyn_sq_mean,0.232165444619608
Market A,wind_forecast_roll_std_24,0.22738568211058657
Market A,wind_dir_cos,0.22668409946704607
Market A,target_profile_mhd_mean,0.2227540694427774
Market A,residual_load_xmk_mean,0.22151735094036695
Market A,residual_load_xmk_diff,0.2176104243939381
Market A,air_temperature_2m,0.2169057977556097
Market A,residual_load_roll_mean_72,0.21500978569172838
Market A,wind_forecast_anom_168,0.21372500595512237
Market A,wind_speed_80m_z_168,0.213089301791596
Market A,temp_dew_spread,0.21282908748660107
Market A,solar_forecast_lag_24,0.21261174604356195
Market A,wind_forecast_diff_6,0.2087070529201669
Market A,residual_load_roll_std_6,0.20636904654135746
Market A,residual_load_roll_mean_6,0.20324144678190023
Market A,target_profile_mhd_dyn_count,0.20294965263831985
Market A,month_sin,0.1942848460735974
Market A,gust_ratio_10m,0.1894805439361441
Market A,residual_load_diff_1,0.1891108184202503
Market A,residual_load_lag_1,0.18803546588505762
Market A,target_profile_mhd_dyn_mean,0.18677624611602212
Market A,hour_sin,0.1866106779111192
Market A,wind_forecast_lag_6,0.18337791384262891
Market A,apparent_temperature_2m,0.18141642990315804
Market A,wet_bulb_temperature_2m,0.17777659883136773
Market A,residual_load_sq,0.17540200742169856
Market A,solar_forecast_lag_168,0.17414618967508652
Market A,dow_x_market,0.17307699808020197
Market A,residual_load_lag_48,0.17148541527063807
Market A,load_forecast_roll_mean_6,0.16969828866786313
Market A,cloud_cover_total_xmk_mean,0.16930330920526146
Market A,wind_speed_80m_xmk_std,0.1685367476746532
Market A,residual_load_lag_2,0.16831946881006235
Market A,direct_normal_irradiance,0.16804219109749416
Market A,temp_apparent_gap,0.1592768415314095
Market A,wind_speed_80m_xmk_z,0.15664511247779067
Market A,residual_load_lag_168,0.1507922977113302
Market A,wind_speed_80m_xmk_diff,0.15051925653883635
Market A,cloud_cover_total_xmk_z,0.14978351202927015
Market A,wind_speed_80m_anom_24,0.14931120676585616
Market A,wind_forecast_z_168,0.1478440523836784
Market A,net_load_share_peak,0.14179284633598785
Market A,wind_forecast_roll_mean_24,0.1413003998949318
Market A,air_temperature_2m_xmk_z,0.13934976869255247
Market A,wind_forecast_lag_1,0.13662781931942045
Market A,air_temperature_2m_anom_24,0.134704076074647
Market A,wind80_x_residual_load,0.13448902238322027
Market A,convective_inhibition,0.1334450975449616
Market A,relative_humidity_2m,0.13331504155362944
Market A,cloud_cover_total_xmk_std,0.1332019742466743
Market A,wind_forecast,0.13310864593245164
Market A,solar_forecast_diff_1,0.13008263093798614
Market A,load_forecast_diff_1,0.12997759441338083
Market A,target_profile_m_dyn_mean,0.12992845994543964
Market A,wind_share,0.12657511255826243
Market A,cloud_cover_mid,0.12596953813262685
Market A,hour,0.12447718413720099
Market A,load_forecast,0.12440815574110428
Market A,month_cos,0.12292398791823696
Market A,load_forecast_lag_6,0.12288967730532142
Market A,wind_speed_80m_anom_168,0.12271284555106741
Market A,load_forecast_lag_24,0.11451011447250742
Market A,hour_cos,0.11158723828542948
Market A,target_profile_m_dyn_sq_mean,0.1104168616470397
Market A,dew_point_temperature_2m,0.10915934453597241
Market A,load_forecast_lag_2,0.10892317380854205
Market A,target_profile_mh_dyn_mean,0.10484488579688911
Market A,residual_load_xmk_z,0.10465043432696065
Market A,load_forecast_lag_48,0.10422104703755057
Market A,load_forecast_anom_24,0.10323853278207576
Market A,meteo_missing_count,0.10142601102031017
Market A,cloud_cover_total,0.09999793477838738
Market A,dow_sin,0.09902077727114728
Market A,stress_ratio,0.09895528669496656
Market A,stress_ratio_sq,0.0976135628423867
Market A,precipitation_amount_xmk_std,0.09660512208963441
Market A,residual_load_lag_6,0.09648695230318903
Market A,ws80_cu,0.09625231035699153
