id,delivery_start,market,target,pred,fold
121819,2025-06-18 00:00:00,Market A,32.076,47.01124187815276,1
121820,2025-06-18 00:00:00,Market B,16.987,47.904017343415816,1
121821,2025-06-18 00:00:00,Market C,24.647,53.68404530149454,1
121822,2025-06-18 00:00:00,Market F,-23.776,61.31200683634124,1
121823,2025-06-18 00:00:00,Market D,-28.648,66.06144138332704,1
121824,2025-06-18 00:00:00,Market E,18.831,68.35158164132262,1
121825,2025-06-18 01:00:00,Market A,31.935,63.585330913636355,1
121826,2025-06-18 01:00:00,Market B,18.878,34.54224234172953,1
121827,2025-06-18 01:00:00,Market C,21.198,14.664711562506556,1
121828,2025-06-18 01:00:00,Market F,-13.444,7.341590944946607,1
121829,2025-06-18 01:00:00,Market D,-31.676,-4.339454276346896,1
121830,2025-06-18 01:00:00,Market E,19.615,13.211550044018784,1
121831,2025-06-18 02:00:00,Market A,25.407,9.06471227529519,1
121832,2025-06-18 02:00:00,Market B,23.537,4.11641781774854,1
121833,2025-06-18 02:00:00,Market C,22.625,18.57593027903613,1
121834,2025-06-18 02:00:00,Market F,1.144,42.18538911214745,1
121835,2025-06-18 02:00:00,Market D,-34.419,50.77033353667165,1
121836,2025-06-18 02:00:00,Market E,22.852,41.447396314035075,1
121837,2025-06-18 03:00:00,Market A,38.58,96.41814056912688,1
121838,2025-06-18 03:00:00,Market B,23.081,101.87762753823937,1
121839,2025-06-18 03:00:00,Market C,21.278,194.23595516208414,1
121840,2025-06-18 03:00:00,Market F,5.079,111.94242207548034,1
121841,2025-06-18 03:00:00,Market D,-27.743,82.25963989195692,1
121842,2025-06-18 03:00:00,Market E,21.49,82.68077535034453,1
121843,2025-06-18 04:00:00,Market A,49.475,71.45888243782221,1
121844,2025-06-18 04:00:00,Market B,23.507,79.44283575365283,1
121845,2025-06-18 04:00:00,Market C,20.996,74.72744132723162,1
121846,2025-06-18 04:00:00,Market F,0.483,73.70550973583114,1
121847,2025-06-18 04:00:00,Market D,12.966,74.49739155207602,1
121848,2025-06-18 04:00:00,Market E,21.957,92.03043864369198,1
121849,2025-06-18 05:00:00,Market A,54.342,99.36893699938992,1
121850,2025-06-18 05:00:00,Market B,23.548,57.40360032682503,1
121851,2025-06-18 05:00:00,Market C,21.354,27.706771660027048,1
121852,2025-06-18 05:00:00,Market F,-4.507,19.863233644043284,1
121853,2025-06-18 05:00:00,Market D,4.341,13.689986791587046,1
121854,2025-06-18 05:00:00,Market E,22.64,17.527578129560226,1
121855,2025-06-18 06:00:00,Market A,41.465,14.961119818676464,1
121856,2025-06-18 06:00:00,Market B,31.335,9.269819245830586,1
121857,2025-06-18 06:00:00,Market C,28.009,5.066733174666819,1
121858,2025-06-18 06:00:00,Market F,-11.858,12.445102910488545,1
121859,2025-06-18 06:00:00,Market D,-31.696,6.208009959923061,1
121860,2025-06-18 06:00:00,Market E,31.432,2.5744106863205616,1
121861,2025-06-18 07:00:00,Market A,23.767,2.994671289383845,1
121862,2025-06-18 07:00:00,Market B,24.394,36.22539744679733,1
121863,2025-06-18 07:00:00,Market C,22.633,72.79401287041708,1
121864,2025-06-18 07:00:00,Market F,-14.901,73.95589984835674,1
121865,2025-06-18 07:00:00,Market D,-31.614,62.86315372094213,1
121866,2025-06-18 07:00:00,Market E,23.709,61.48707314158395,1
121867,2025-06-18 08:00:00,Market A,16.712,65.30615700689363,1
121868,2025-06-18 08:00:00,Market B,19.493,57.74752631757059,1
