feature,mean_abs_shap
weekofyear,5.246999205785217
net_load_share,4.312023924870899
air_temperature_2m_xmk_mean,4.06031455140143
solar_forecast_lag_168,3.8777440159682053
surface_pressure,3.2253548540611967
target_profile_mhd_mean,2.986128490950496
residual_load_diff_24,2.6887922209639927
residual_load_lag_1,1.8076530395642252
apparent_temperature_2m,1.776362134421179
wind_forecast_anom_24,1.6948258612981444
air_temperature_2m,1.502905740039415
load_forecast_roll_mean_24,1.4213687240138482
residual_load_sq,1.4184728186103226
wind_forecast_z_168,1.3212335994097988
ws80_above_cutin,1.2971986951582117
load_forecast_roll_std_24,1.2914677679437248
target_profile_mh_dyn_count,1.2714057671919103
residual_load_lag_2,1.1457257553820204
solar_forecast_diff_1,1.1434181316833172
wind_speed_80m_xmk_mean,1.1318941999819205
residual_load,1.0909403440825742
wind_forecast_roll_mean_6,1.0300148787193169
ws80_cu,0.9987090730015941
market,0.9915845293824036
wind_speed_80m,0.9795336478380662
residual_load_diff_6,0.9657458627697462
solar_share,0.9425187814707938
solar_forecast_roll_mean_72,0.9057878704402512
residual_load_lag_24,0.903352682660558
ws80_sq,0.8987383552328464
solar_forecast_roll_mean_24,0.8902357133458138
residual_load_diff_1,0.8847809058815758
solar_forecast_diff_24,0.8831544162685493
wind_speed_80m_z_168,0.8566551164986647
load_forecast_lag_2,0.8425889154627573
residual_load_lag_48,0.8353623737434143
solar_forecast_lag_24,0.8103766597508241
solar_forecast_roll_std_24,0.7911393659092958
wind_forecast_roll_std_6,0.7860809841135713
wind_forecast_diff_24,0.780297398440712
wind_forecast_roll_std_24,0.7718409118641213
load_forecast_roll_mean_72,0.7631016100988929
wind_speed_10m,0.7494329391526064
solar_forecast_xmk_mean,0.7328458208552943
month_sin,0.7322762260701929
target_profile_m_mean,0.7303371468833082
target_profile_m_dyn_count,0.7157282535312611
load_forecast_z_168,0.70757548957748
wind_dir_cos,0.698380483936684
net_load_share_peak,0.6863540617430068
residual_load_lag_168,0.6789503321990676
residual_load_xmk_mean,0.6705873950864796
target_profile_mhd_dyn_count,0.6477693785237889
load_forecast_diff_6,0.640792514255915
residual_load_1819,0.6171855057094238
load_forecast_xmk_rank_pct,0.6100509524414637
ws80_above_rated,0.6074160647361578
load_forecast_lag_24,0.598396087729107
target_profile_mh_mean,0.5950483471883556
load_forecast_anom_168,0.5947180353638134
wind_speed_80m_anom_168,0.5903322685710648
target_profile_m_std,0.5840887781227508
load_forecast_roll_mean_6,0.5758659421550058
residual_load_roll_std_24,0.567414288788258
residual_load_roll_std_72,0.5607656063932431
solar_forecast_z_168,0.5601011576244022
wind_forecast,0.5487832396593442
load_forecast_diff_24,0.5374473067919557
solar_forecast_lag_1,0.5148489376871427
wind_forecast_roll_mean_24,0.5126674020274876
cloud_cover_total_xmk_mean,0.5105847841678615
wind_gust_speed_10m,0.4984153166707693
wind_forecast_lag_24,0.4790478036637875
solar_forecast,0.4749108686053164
convective_available_potential_energy,0.47430167015943697
relative_humidity_2m,0.47049486400876994
wind_forecast_diff_1,0.46214614947021
residual_load_roll_mean_72,0.4612129901035218
target_profile_mh_dyn_mean,0.4599592475942972
residual_load_roll_mean_24,0.4518751861808192
target_profile_mhd_std,0.43476454818159116
air_temperature_2m_anom_168,0.4328524720912906
wind_forecast_roll_std_72,0.43175864783817
target_profile_m_dyn_rms,0.4175698361797777
hour_x_market,0.41592475223864184
month_x_market,0.4138555744006094
air_temperature_2m_z_168,0.4092612219999553
ws_ratio_80_10,0.4006053199331657
wind_forecast_xmk_mean,0.39169255682563553
air_temperature_2m_xmk_std,0.3901343405473004
wind_forecast_lag_6,0.38728426687838785
load_forecast_lag_168,0.3799401504490979
freezing_level_height,0.37734452589756873
target_profile_mh_dyn_std,0.37568150599519595
target_profile_m_dyn_sq_mean,0.36057245114544634
load_forecast_lag_6,0.35644564556450337
load_forecast_roll_std_72,0.3563375542020422
wind_forecast_roll_mean_72,0.3540560929008577
load_forecast_anom_24,0.34553546961007936
wind_forecast_diff_6,0.33978783440638705
dew_point_temperature_2m,0.3207752232017242
wet_bulb_temperature_2m,0.31806898109137266
solar_forecast_anom_168,0.3176159472255383
air_temperature_2m_xmk_diff,0.31699334030153237
load_forecast_lag_1,0.31173611181205113
dow_x_market,0.3094025953869979
temp_dew_spread,0.3038047348175693
residual_load_lag_6,0.30025748452880224
lifted_index,0.29966970690217726
wind_speed_80m_peak,0.2981151468374072
wind_forecast_anom_168,0.2894051343339959
wind_forecast_lag_168,0.28751492601112294
load_forecast_diff_1,0.2845028286503875
wind_forecast_lag_48,0.28017063568180645
target_profile_mh_dyn_sq_mean,0.27958482900148024
wind_forecast_lag_1,0.2794444531473077
solar_forecast_roll_std_6,0.2794422872515386
solar_forecast_roll_std_72,0.2728715709964412
wind_forecast_xmk_rank_pct,0.2705235010821427
diffuse_horizontal_irradiance,0.26098780273987
temp_apparent_gap,0.25248368994846715
convective_inhibition,0.25138275502015955
dow,0.2506444819452598
global_horizontal_irradiance,0.24915479535059532
solar_forecast_anom_24,0.2413234606250361
cloud_cover_total_xmk_std,0.23873897242526587
target_profile_m_dyn_mean,0.2331138489384134
solar_forecast_roll_mean_6,0.2318037089099108
load_forecast_roll_std_6,0.22968036489203877
month_cos,0.22382179124740248
air_temperature_2m_anom_24,0.21958414620084493
wind_speed_80m_anom_24,0.21638253841276237
wind_forecast_lag_2,0.21327197367253403
wind_speed_80m_xmk_std,0.20713052048821798
load_forecast_lag_48,0.20608479138992863
