feature,mean_abs_shap
target_profile_mhd_mean,7.359850640467202
net_load_share,5.5591258059996225
weekofyear,3.6042009922459424
target_profile_m_dyn_mean,3.4333348667254038
target_profile_mhd_std,2.529154960961
target_profile_m_dyn_std,1.7608079954628355
load_forecast_roll_std_24,1.6145162451078976
air_temperature_2m_xmk_mean,1.4657936533411682
target_profile_mh_dyn_count,1.402881729361891
wind_speed_80m_anom_168,1.3207704596004104
solar_forecast_diff_1,1.1861828602016853
residual_load_xmk_mean,1.102653215616661
target_profile_m_dyn_count,1.077811087266313
ws80_above_rated,1.0686169342563545
ws80_cu,1.048094839524705
residual_load,1.0221981063086072
wind_speed_80m_xmk_mean,0.9754592626411567
ws80_above_cutin,0.9339078454974716
residual_load_sq,0.9145735786180729
surface_pressure,0.9061635125302111
load_forecast_anom_168,0.9007071037339712
wind_speed_80m_z_168,0.8920101683597763
load_forecast_roll_mean_72,0.8699678533902637
target_profile_mh_mean,0.8378390475964863
ws80_sq,0.8272505170752914
apparent_temperature_2m,0.8230108513574208
residual_load_lag_168,0.8059177586884836
residual_load_diff_24,0.7979722314636066
target_profile_m_std,0.766881296341106
solar_forecast_anom_24,0.7430260839990414
wind_speed_10m,0.7173204422038936
wind_forecast_diff_24,0.7033054088736654
solar_forecast_xmk_mean,0.6529543858971122
wind_speed_80m,0.6411945829257552
solar_forecast_lag_168,0.6289327594584706
global_horizontal_irradiance,0.6042219103550731
target_profile_mh_dyn_mean,0.6031850591602069
target_profile_mhd_dyn_mean,0.5742448145034933
solar_forecast_roll_mean_24,0.5688637640094765
target_profile_mhd_dyn_count,0.5557095939301665
residual_load_diff_6,0.5539217528201537
wind_forecast_roll_std_72,0.5462410486303959
solar_forecast_diff_24,0.5399817625261861
month_sin,0.5373735803529185
residual_load_1819,0.5305239069149806
wind_dir_cos,0.5057797252322134
residual_load_roll_mean_24,0.5012347513107537
target_profile_m_dyn_rms,0.49973289555507683
target_profile_mhd_dyn_std,0.46686256332983345
load_forecast_lag_168,0.4581132664874922
wind_forecast_z_168,0.44644109634135465
solar_forecast_roll_std_24,0.44104993505159384
air_temperature_2m,0.4349649179154106
target_profile_m_dyn_sq_mean,0.4345947575690514
cloud_cover_total_xmk_mean,0.43412331730079207
wind_forecast_roll_mean_24,0.42753015584799914
wind_forecast_anom_24,0.40485999481751445
month_cos,0.3976761883364141
wind_forecast_roll_std_6,0.39427995451664954
residual_load_lag_48,0.3875690781751273
residual_load_roll_mean_72,0.3843970731849898
residual_load_lag_1,0.37052000937223684
load_forecast_anom_24,0.3695292015373111
lifted_index,0.36737393531210083
month_x_market,0.35091471693788534
load_forecast_lag_6,0.3452774031953092
wind_forecast_roll_std_24,0.3439069743193407
freezing_level_height,0.34188999163834805
load_forecast_lag_24,0.34029378415478734
load_forecast_roll_mean_24,0.33913179723614817
target_profile_m_mean,0.3363509668887271
load_forecast_diff_24,0.3352458644148077
residual_load_roll_std_72,0.334885583249813
wind_speed_80m_anom_24,0.33298693091090764
residual_load_lag_24,0.3296474248350541
wind_forecast_diff_1,0.31855294511958093
solar_forecast_roll_std_72,0.31606876828590036
solar_forecast_lag_1,0.31276051063872906
air_temperature_2m_xmk_diff,0.3122607010466163
target_profile_mhd_dyn_rms,0.305260576731372
solar_forecast_z_168,0.29626884490622796
wind_forecast_anom_168,0.2924067758026077
wind_forecast_lag_6,0.2902819938681993
load_forecast_lag_48,0.2828866933272019
load_forecast_roll_std_72,0.27864608892664244
solar_forecast_roll_mean_72,0.27568566528337246
air_temperature_2m_anom_168,0.2685529341257455
wind_forecast_roll_mean_72,0.26675686527435705
wind_forecast,0.26525809886638646
load_forecast_roll_mean_6,0.2642545356464279
wind_share,0.26208530261076896
residual_load_diff_1,0.25541750473432134
solar_forecast_lag_48,0.24870666034875383
net_load_share_peak,0.2453431195074001
wind_dir_sin,0.24471747807414282
air_temperature_2m_xmk_std,0.2395476378272899
wind_speed_80m_xmk_z,0.22329114679470327
load_forecast_diff_6,0.22197075441989644
solar_forecast_lag_24,0.21991381243011301
convective_inhibition,0.21380454684703876
load_forecast_lag_1,0.2109134427069354
residual_load_roll_std_24,0.2100439449255511
solar_forecast_anom_168,0.20712530533298323
solar_forecast_diff_6,0.19735730754364927
target_profile_mhd_dyn_sq_mean,0.1939947585612557
load_forecast_lag_2,0.1916702387688854
wind_forecast_lag_24,0.1875646730723967
wind_forecast_lag_168,0.18731631727769887
wind_forecast_lag_48,0.18561871571105554
stress_ratio_1819,0.18192173350568244
residual_load_roll_std_6,0.1814944442513485
direct_normal_irradiance,0.17444770237343865
load_forecast_z_168,0.17410589007143498
residual_load_lag_6,0.1735550426632944
load_forecast_diff_1,0.17089833443177047
air_temperature_2m_anom_24,0.16648903220222563
cloud_cover_low,0.1638688042461383
wind_forecast_xmk_mean,0.16245331772560911
cloud_cover_total_xmk_std,0.16207347320462182
solar_forecast_roll_mean_6,0.1586758179528581
wet_bulb_temperature_2m,0.15037198785667202
air_temperature_2m_z_168,0.14914124671030737
dew_point_temperature_2m,0.14851548793711047
wind_direction_80m,0.14721107626507438
target_profile_mh_dyn_rms,0.14702640332549427
gustiness_10m,0.14585192271889888
temp_dew_spread,0.14529852909215302
solar_share,0.1403920664512069
air_temperature_2m_xmk_z,0.13985890907122794
load_forecast,0.13982685832248626
wind_forecast_roll_mean_6,0.13689242659422657
stress_ratio,0.13461744037369555
gust_ratio_10m,0.1341754520020335
solar_forecast_roll_std_6,0.1338242053810612
load_forecast_roll_std_6,0.13341856806037367
wind_forecast_diff_6,0.13182707643174602
temp_apparent_gap,0.1286006056229766
solar_forecast_lag_6,0.1285352301802019
wind_gust_speed_10m,0.12774349828875106
relative_humidity_2m,0.1273828084796801
cloud_cover_total_xmk_z,0.12637556303530562
solar_forecast_lag_2,0.12451370408730325
visibility,0.11471219488536455
hour,0.11073439073594091
month,0.1096537792616186
convective_available_potential_energy,0.1094940861221206
hour_cos,0.10873941817736626
wind_speed_80m_xmk_std,0.10797969581720053
stress_ratio_sq,0.10523024912635111
residual_load_roll_mean_6,0.09818464661296476
wind_forecast_lag_2,0.09359896897573097
solar_forecast,0.09130838013595265
target_profile_mh_std,0.08913417540051415
residual_load_lag_2,0.08312668922476847
wind_speed_80m_peak,0.08028745686122984
ws_ratio_80_10,0.07858915106415146
market,0.07755307851919942
wind_forecast_xmk_diff,0.07187331541679783
clear_sky_proxy,0.07155726883475795
cloud_cover_total_xmk_diff,0.07155159374501688
load_forecast_xmk_mean,0.06825215945158607
dow_sin,0.0675516507291404
wind_forecast_xmk_z,0.06573069527191512
wind_forecast_lag_1,0.05999517737426581
hour_sin,0.05889883538034892
dow,0.05801701081033214
wind_speed_80m_xmk_diff,0.04829005415281825
target_profile_mh_dyn_sq_mean,0.04802340805072286
load_forecast_xmk_rank_pct,0.042910732780035335
cloud_cover_high,0.04202878639451914
cloud_cover_mid,0.04179366178733368
residual_load_xmk_z,0.0404385550788509
target_profile_mh_dyn_std,0.03975031377001952
dow_cos,0.03862108143633296
precipitation_amount,0.03645896199823599
solar_forecast_xmk_diff,0.03551454110142507
diffuse_horizontal_irradiance,0.03420865425721446
solar_forecast_xmk_z,0.03267622715362417
cloud_low_share,0.0318895460767917
is_winter,0.028012268217566475
cloud_cover_total,0.025032804848239533
wind_forecast_xmk_rank_pct,0.023944205069917165
wind80_x_residual_load,0.02295294366561382
solar_forecast_xmk_rank_pct,0.021454754655157914
precipitation_amount_xmk_std,0.019734329328806494
residual_load_xmk_diff,0.01931894035633424
load_forecast_xmk_z,0.017949986686299334
precipitation_amount_xmk_mean,0.016593034064068726
precipitation_amount_xmk_z,0.015475927550429067
precipitation_amount_xmk_diff,0.015169943636787498
cloud_x_solar_day,0.013805601983529757
hour_x_market,0.013601765386123975
meteo_missing_any,0.009012904318513676
ws80_below_cutin,0.007532903781472829
cloud_x_solar,0.007394155583518892
ws80_medium_cubic,0.007379353659658792
dow_x_market,0.007009386229511703
residual_load_xmk_rank_pct,0.006520246656832924
meteo_missing_count,0.006062282065792629
load_forecast_xmk_diff,0.0040841542153867766
ws80_bin_low,0.002457318875708928
is_morning_peak,0.0012808652716288632
is_weekend,0.0
wind_forecast_xmk_std,0.0
ws80_bin_cutout,0.0
is_night,0.0
is_peak_17_20,0.0
ws80_bin_high,0.0
is_18_19,0.0
ws80_bin_medium,0.0
load_forecast_xmk_std,0.0
solar_forecast_xmk_std,0.0
is_evening_peak,0.0
residual_load_xmk_std,0.0
ws80_high_flat,0.0
