market,feature,mean_abs_shap
Market A,target_profile_m_dyn_std,1.636226756079474
Market A,target_profile_m_dyn_mean,1.4892189096784387
Market A,target_profile_mhd_mean,0.6331664405491558
Market A,solar_forecast_anom_168,0.6280594564933706
Market A,residual_load_roll_std_72,0.5814200227377758
Market A,wind_forecast_roll_mean_72,0.562971875324917
Market A,load_forecast_anom_168,0.5513136612344184
Market A,solar_forecast_z_168,0.4854182240257504
Market A,load_forecast_z_168,0.48120369161700466
Market A,net_load_share,0.46909088335290683
Market A,wind_speed_10m,0.46451005012626156
Market A,wind_forecast_lag_48,0.4385542118449365
Market A,load_forecast_diff_24,0.4185021963783381
Market A,solar_forecast_anom_24,0.40324892024128617
Market A,solar_forecast_roll_mean_72,0.3838921366366294
Market A,target_profile_m_dyn_count,0.3809884232598364
Market A,air_temperature_2m_anom_168,0.37222883012887914
Market A,load_forecast_roll_mean_24,0.35172533418720353
Market A,wind_forecast_roll_std_72,0.3387201641927798
Market A,air_temperature_2m_xmk_diff,0.33451098033999843
Market A,direct_normal_irradiance,0.3306108357051826
Market A,solar_forecast_roll_std_24,0.3211312645802721
Market A,solar_forecast_roll_std_72,0.31807951613675056
Market A,load_forecast_lag_168,0.3116542598341508
Market A,freezing_level_height,0.3076848948231072
Market A,target_profile_m_dyn_sq_mean,0.29896056613911054
Market A,solar_forecast_lag_168,0.29658003682304274
Market A,target_profile_mh_dyn_mean,0.2946515365688623
Market A,dow_x_market,0.29158814200533534
Market A,wind_direction_80m,0.29093797447760394
Market A,residual_load_diff_24,0.28984284515827297
Market A,wind_forecast_diff_24,0.2885971724429538
Market A,weekofyear,0.286109220727928
Market A,wind_speed_80m_xmk_mean,0.2840041416658801
Market A,load_forecast_roll_std_72,0.2810455733594134
Market A,gustiness_10m,0.2787637505715395
Market A,residual_load_roll_std_24,0.2729417505346683
Market A,wind_forecast_z_168,0.2728903717380063
Market A,residual_load_roll_mean_72,0.27054766828975996
Market A,wind_forecast_diff_1,0.26481724654715555
Market A,target_profile_mhd_std,0.2639186591915761
Market A,load_forecast_lag_48,0.2601345313135939
Market A,air_temperature_2m_xmk_mean,0.2577978070855141
Market A,wind_forecast_lag_168,0.2565033126202904
