id,delivery_start,market,target,pred,fold
124335,2025-07-02 00:00:00,Market A,77.408,88.96168448170711,1
124336,2025-07-02 00:00:00,Market B,76.02,65.46626586184016,1
124338,2025-07-02 00:00:00,Market C,71.154,65.08220135442174,1
124340,2025-07-02 00:00:00,Market F,67.818,71.26707852231418,1
124341,2025-07-02 00:00:00,Market D,72.617,76.96174146067212,1
124343,2025-07-02 00:00:00,Market E,79.74,74.53495604933232,1
124345,2025-07-02 01:00:00,Market A,91.169,65.14621979774559,1
124346,2025-07-02 01:00:00,Market B,49.658,64.2848961109664,1
124348,2025-07-02 01:00:00,Market C,47.874,38.27145142192926,1
124350,2025-07-02 01:00:00,Market F,44.505,29.152160325927426,1
124351,2025-07-02 01:00:00,Market D,47.393,33.06272720046058,1
124353,2025-07-02 01:00:00,Market E,46.418,31.21077590901377,1
124355,2025-07-02 02:00:00,Market A,130.489,15.845491035327164,1
124356,2025-07-02 02:00:00,Market B,42.117,18.53344448381353,1
124358,2025-07-02 02:00:00,Market C,41.308,27.45019088321075,1
124360,2025-07-02 02:00:00,Market F,43.477,5.676378497747407,1
124361,2025-07-02 02:00:00,Market D,40.747,7.787062257332237,1
124363,2025-07-02 02:00:00,Market E,39.367,10.777533291167044,1
124365,2025-07-02 03:00:00,Market A,95.26,20.95366916435128,1
124366,2025-07-02 03:00:00,Market B,38.67,55.80793065197211,1
124368,2025-07-02 03:00:00,Market C,38.588,44.80904976023629,1
124370,2025-07-02 03:00:00,Market F,39.733,46.06585105312638,1
124371,2025-07-02 03:00:00,Market D,36.589,46.62483489000758,1
124373,2025-07-02 03:00:00,Market E,38.843,36.690732219564474,1
124375,2025-07-02 04:00:00,Market A,128.422,52.8413803820629,1
124376,2025-07-02 04:00:00,Market B,40.149,52.30400250100292,1
124378,2025-07-02 04:00:00,Market C,39.336,40.801550323777015,1
124380,2025-07-02 04:00:00,Market F,22.062,42.121417700873664,1
124381,2025-07-02 04:00:00,Market D,-6.077,47.757393518547396,1
124383,2025-07-02 04:00:00,Market E,38.421,43.98261524634383,1
124385,2025-07-02 05:00:00,Market A,68.466,51.16687457941064,1
124386,2025-07-02 05:00:00,Market B,40.813,53.77559314006611,1
124388,2025-07-02 05:00:00,Market C,34.97,36.05829251946258,1
124390,2025-07-02 05:00:00,Market F,20.086,27.46416392605659,1
124391,2025-07-02 05:00:00,Market D,22.595,34.14577515708586,1
124393,2025-07-02 05:00:00,Market E,40.236,21.837574648785647,1
124395,2025-07-02 06:00:00,Market A,73.092,14.911950065945438,1
