market,feature,mean_abs_shap
Market A,solar_forecast_roll_std_72,0.03900543016765081
Market A,month_cos,0.027233748540349306
Market A,solar_forecast_roll_mean_24,0.022810343683939988
Market A,solar_forecast_roll_std_24,0.022764260414205907
Market A,weekofyear,0.02032936989650053
Market A,solar_forecast_roll_mean_72,0.01965426173811147
Market A,wind_speed_10m,0.019133578622329325
Market A,residual_load_roll_mean_72,0.017813287540997896
Market A,month_x_market,0.01728940928430124
Market A,load_forecast_roll_mean_24,0.015770370315072987
Market A,load_forecast_lag_168,0.015647945152389053
Market A,wind_speed_80m_xmk_std,0.015334926030055797
Market A,freezing_level_height,0.014204893221872184
Market A,wind_forecast_diff_24,0.013803982488865657
Market A,dow_x_market,0.013752054697493545
Market A,solar_forecast_diff_24,0.013549006770452373
Market A,wind_forecast_lag_168,0.01349667447710106
Market A,lifted_index,0.012469248153193913
Market A,month_sin,0.011898032267497622
Market A,wind_dir_cos,0.011895626240579755
Market A,residual_load_diff_24,0.01136801624298754
Market A,net_load_share,0.011340396407635279
Market A,wind_forecast_roll_mean_72,0.011191033749756718
Market A,wind_forecast_xmk_mean,0.01074555363142144
Market A,ws_ratio_80_10,0.010449886341120162
Market A,residual_load_roll_std_24,0.010166008857676182
Market A,residual_load_roll_mean_24,0.010064756873073477
Market A,residual_load_roll_std_72,0.009924038949126655
Market A,load_forecast_roll_std_72,0.00990114583309703
Market A,wind_dir_sin,0.0097624471849756
Market A,wind_forecast_roll_std_72,0.009536970710825937
Market A,load_forecast_roll_mean_72,0.009516366613035572
Market A,solar_share,0.008937650704238886
Market A,load_forecast_diff_24,0.008934012485529563
Market A,wind_forecast_roll_std_24,0.008926236193003336
Market A,load_forecast_diff_6,0.008719442115956478
Market A,air_temperature_2m_xmk_diff,0.008693498109654297
Market A,wind_direction_80m,0.008337303787404333
Market A,air_temperature_2m_xmk_std,0.008267512341245883
Market A,wind_forecast_diff_6,0.008123805492205958
Market A,surface_pressure,0.0075556824124250145
Market A,residual_load_lag_168,0.0074656385352317054
Market A,wind_forecast_roll_std_6,0.007408101801260654
Market A,cloud_cover_total_xmk_std,0.007389173025147303
Market A,wind_forecast_lag_1,0.007206915080582887
Market A,diffuse_horizontal_irradiance,0.007196112044349038
Market A,dew_point_temperature_2m,0.00713993639439877
Market A,wind_forecast,0.007083265297504188
Market A,wind80_x_residual_load,0.00702095098241515
Market A,month,0.006971377082480235
Market A,visibility,0.006954898821674068
Market A,target_profile_mhd_std,0.006712729687536415
Market A,dow,0.00663906923646647
Market A,wind_forecast_lag_48,0.006442704499867839
Market A,solar_forecast_xmk_mean,0.006425068263489347
Market A,wind_forecast_roll_mean_24,0.006372752233781741
Market A,temp_apparent_gap,0.0061844208209564065
Market A,global_horizontal_irradiance,0.006139197611540277
Market A,air_temperature_2m_xmk_z,0.006098738592825634
