market,feature,mean_abs_shap
Market A,global_pred_feature,46.333572393220905
Market A,target_profile_mhd_mean,2.3635968193355006
Market A,wind_speed_80m,1.6558394918450654
Market A,target_profile_mhd_std,1.4177464805281736
Market A,solar_share,1.3367273146966492
Market A,net_load_share,0.853024324309618
Market A,wind_forecast_lag_6,0.7872700305557734
Market A,solar_forecast_roll_std_24,0.7239517452392958
Market A,freezing_level_height,0.6598428262117269
Market A,direct_normal_irradiance,0.6378485129076881
Market A,solar_forecast_xmk_mean,0.634512663816352
Market A,wind_forecast_diff_6,0.5671458171815811
Market A,target_profile_mh_mean,0.5367785139560494
Market A,solar_forecast_diff_24,0.5175773333154335
Market A,wind_gust_speed_10m,0.5147398875490534
Market A,residual_load_xmk_mean,0.5034225719254518
Market A,wind_forecast_diff_24,0.49923355758319277
Market A,solar_forecast_roll_std_72,0.4836736361608838
Market A,wind_share,0.48312308459607195
Market A,wind_forecast_lag_2,0.4805557585036334
Market A,residual_load_diff_6,0.4642090734805815
Market A,wind_speed_80m_xmk_mean,0.4502104588457746
Market A,residual_load_diff_24,0.44728077312142794
Market A,load_forecast_roll_mean_24,0.44605829232088373
Market A,gustiness_10m,0.4337576428397505
Market A,weekofyear,0.4187034245661018
Market A,residual_load_roll_std_72,0.4125404574984218
Market A,stress_ratio_sq,0.41232952488370783
Market A,lifted_index,0.38623647984172094
Market A,global_horizontal_irradiance,0.3783079610360625
Market A,wind_forecast_roll_mean_6,0.36888294566149143
Market A,temp_apparent_gap,0.36321540157021515
Market A,wind_forecast_xmk_mean,0.3506837884549985
Market A,residual_load_lag_1,0.34170585633588835
Market A,wind_forecast_roll_std_72,0.33952819441842813
Market A,wind_dir_cos,0.33517107307654215
Market A,wind_speed_10m,0.3305972063147458
Market A,wind_forecast_lag_1,0.3300852842557511
Market A,cloud_cover_total_xmk_z,0.32693114275587964
Market A,residual_load_roll_std_6,0.32664108689925514
Market A,solar_forecast_roll_mean_72,0.3256346746694069
Market A,air_temperature_2m_xmk_mean,0.3209078931625242
Market A,wind_forecast_roll_mean_72,0.3198314637917199
Market A,wind_forecast,0.3155443558631821
Market A,stress_ratio,0.3073903008762327
Market A,load_forecast_lag_168,0.3069060418185748
Market A,month_sin,0.30497432663198326
Market A,solar_forecast,0.30112040708823656
Market A,solar_forecast_lag_24,0.29744129675361003
Market A,wind_speed_80m_xmk_std,0.28920611605734264
Market A,cloud_cover_total_xmk_diff,0.2891586295592408
Market A,solar_forecast_roll_std_6,0.27880084495515595
Market A,wind_forecast_lag_48,0.27727645708934096
Market A,air_temperature_2m_xmk_z,0.2767155153544985
Market A,residual_load_lag_168,0.2750852823817491
Market A,air_temperature_2m_xmk_std,0.27507240274293854
Market A,solar_forecast_roll_mean_24,0.2742719816067584
Market A,residual_load_diff_1,0.26980174451612937
