market,feature,mean_abs_shap
Market A,global_pred_feature,15.785827405198226
Market A,wind_speed_80m,2.9413348138647417
Market A,target_profile_mhd_mean,2.4006123301701106
Market A,target_profile_mh_mean,1.4409699774983662
Market A,net_load_share,1.2879606668306538
Market A,target_profile_mhd_std,0.8982153905408503
Market A,wind_forecast_diff_24,0.8078630821622448
Market A,solar_forecast_roll_std_24,0.7786300228107211
Market A,wind_speed_80m_xmk_mean,0.7218036584011429
Market A,visibility,0.6392309219067384
Market A,freezing_level_height,0.6238979365993822
Market A,wind_forecast_xmk_mean,0.5961721391987616
Market A,temp_dew_spread,0.5746926933210988
Market A,temp_apparent_gap,0.5508804481444358
Market A,wind_share,0.5493493856490245
Market A,wind_forecast_lag_6,0.5038251892850504
Market A,weekofyear,0.4820990094861667
Market A,wind_forecast_diff_6,0.4794506784537982
Market A,residual_load_diff_24,0.44804719137764015
Market A,gustiness_10m,0.43318366799532604
Market A,cloud_cover_total_xmk_mean,0.42793969876628496
Market A,wind_dir_cos,0.4230610792249179
Market A,wind_speed_80m_xmk_diff,0.42014668232834596
Market A,wind_forecast_roll_std_72,0.4147844753656546
Market A,wind_gust_speed_10m,0.40894972890022474
Market A,stress_ratio,0.4062658986941625
Market A,dew_point_temperature_2m,0.40094017746288385
Market A,stress_ratio_sq,0.38176984305772055
Market A,solar_forecast_roll_std_72,0.3623865133503729
Market A,month_sin,0.3607190289765225
Market A,load_forecast_lag_168,0.35866099051217226
Market A,load_forecast_roll_mean_24,0.3559358176273232
Market A,air_temperature_2m,0.3520097376868831
Market A,wind_forecast_roll_mean_72,0.34613461294376047
Market A,target_profile_mh_std,0.33690976808376183
Market A,wind_forecast_lag_1,0.33446460665189226
Market A,hour_cos,0.3321325040115278
Market A,wind_forecast_roll_mean_24,0.32280051637807056
Market A,wind_forecast_lag_48,0.31719394095182574
Market A,residual_load_roll_std_72,0.3136969252959311
Market A,air_temperature_2m_xmk_mean,0.31232419382227344
Market A,wind_forecast_lag_168,0.3103684445757834
Market A,residual_load_roll_std_6,0.30172284384919157
Market A,solar_forecast_roll_mean_72,0.29777842637944313
Market A,month_x_market,0.2960920734399108
Market A,air_temperature_2m_xmk_std,0.2958744703563631
Market A,solar_forecast_roll_std_6,0.28376429920487606
Market A,solar_forecast_roll_mean_24,0.2836826521072416
Market A,wind_forecast_lag_24,0.2796585799685013
Market A,wind_forecast,0.27803872357792175
Market A,residual_load_lag_24,0.275546321887546
Market A,solar_forecast_diff_24,0.27342092264527684
Market A,residual_load_diff_6,0.26620167385806215
Market A,residual_load_xmk_mean,0.26302640502527397
Market A,load_forecast_diff_24,0.25724402667075785
Market A,wind_direction_80m,0.25527551437132207
Market A,cloud_cover_total_xmk_std,0.25228137705221715
Market A,cloud_cover_total_xmk_diff,0.25179125891733195
Market A,ws_ratio_80_10,0.25135295872054597
Market A,direct_normal_irradiance,0.24872673125532457
Market A,residual_load,0.24706642976726984
Market A,lifted_index,0.24186921369492598
Market A,residual_load_sq,0.24004339366918512
Market A,load_forecast_lag_48,0.23642572961611916
Market A,residual_load_roll_mean_72,0.22689263270768367
Market A,wind_speed_10m,0.22565987493758574
Market A,wind_forecast_roll_std_24,0.21925552052560948
Market A,surface_pressure,0.21601582969357103
Market A,residual_load_roll_std_24,0.21517180218133233
Market A,wind_speed_80m_xmk_z,0.21458776132873758
Market A,wind_forecast_lag_2,0.21353164296765698
Market A,wind_speed_80m_xmk_std,0.2102567698563859
Market A,wind80_x_residual_load,0.19944270122228297
Market A,wind_forecast_roll_std_6,0.19684120558708743
Market A,load_forecast_roll_std_24,0.19622149012307868
Market A,hour_sin,0.19566299117205424
Market A,gust_ratio_10m,0.1955864502363924
Market A,residual_load_lag_48,0.1848040749138703
Market A,wind_forecast_diff_1,0.18123601976318196
Market A,apparent_temperature_2m,0.17997683552927124
Market A,cloud_x_solar,0.17302325143475766
Market A,load_forecast_lag_24,0.16961650325830063
Market A,dow_x_market,0.1651540583178983
Market A,residual_load_lag_168,0.1638372925602196
Market A,dow,0.1616409213541916
Market A,relative_humidity_2m,0.15952060451046918
Market A,load_forecast_roll_std_6,0.15627711120674476
Market A,solar_forecast_diff_6,0.15491139899408918
Market A,wind_dir_sin,0.1509416780960723
Market A,dow_sin,0.14695455909941404
Market A,convective_available_potential_energy,0.144205130079189
Market A,load_forecast_roll_std_72,0.14365607609187117
Market A,wind_forecast_roll_mean_6,0.14363447812585334
Market A,load_forecast_roll_mean_72,0.1433747470402338
