id,delivery_start,market,target,pred,fold
131371,2025-08-17 00:00:00,Market A,55.553,49.4115208438628,1
131372,2025-08-17 00:00:00,Market B,27.552,45.51817255029833,1
131373,2025-08-17 00:00:00,Market C,36.494,45.36160741065293,1
131374,2025-08-17 00:00:00,Market F,35.566,54.82647859902238,1
131375,2025-08-17 00:00:00,Market D,34.509,41.53767352623104,1
131376,2025-08-17 00:00:00,Market E,25.946,38.05008289721037,1
131377,2025-08-17 01:00:00,Market A,93.582,36.08392666315599,1
131378,2025-08-17 01:00:00,Market B,21.968,34.9275832770396,1
131379,2025-08-17 01:00:00,Market C,33.153,12.261132781164655,1
131380,2025-08-17 01:00:00,Market F,30.983,3.463861529677061,1
131381,2025-08-17 01:00:00,Market D,31.02,-3.1860539918533703,1
131382,2025-08-17 01:00:00,Market E,22.813,-5.9172545417923175,1
131383,2025-08-17 02:00:00,Market A,178.885,3.0662298194834463,1
131384,2025-08-17 02:00:00,Market B,26.418,18.831331989726078,1
131385,2025-08-17 02:00:00,Market C,28.341,26.260020536333776,1
131386,2025-08-17 02:00:00,Market F,28.268,27.068428373158735,1
131387,2025-08-17 02:00:00,Market D,29.754,19.62669366359562,1
131388,2025-08-17 02:00:00,Market E,26.404,29.095205545966124,1
131389,2025-08-17 03:00:00,Market A,57.212,36.34622426362283,1
131390,2025-08-17 03:00:00,Market B,18.771,97.39270873323323,1
131391,2025-08-17 03:00:00,Market C,23.872,94.62810135854292,1
131392,2025-08-17 03:00:00,Market F,25.284,71.26064551954005,1
131393,2025-08-17 03:00:00,Market D,24.563,67.1655954791905,1
131394,2025-08-17 03:00:00,Market E,20.396,101.48386818694242,1
131395,2025-08-17 04:00:00,Market A,30.403,99.24373915138092,1
131396,2025-08-17 04:00:00,Market B,20.228,98.27291824577328,1
131397,2025-08-17 04:00:00,Market C,22.632,97.5541447819883,1
131398,2025-08-17 04:00:00,Market F,23.064,90.87192916923748,1
131399,2025-08-17 04:00:00,Market D,22.811,133.6407606558538,1
131400,2025-08-17 04:00:00,Market E,20.634,93.60705529824224,1
131401,2025-08-17 05:00:00,Market A,23.542,115.9631767833066,1
131402,2025-08-17 05:00:00,Market B,21.937,73.53609845662172,1
131403,2025-08-17 05:00:00,Market C,22.289,20.732624871112115,1
131404,2025-08-17 05:00:00,Market F,21.346,16.97904139880566,1
131405,2025-08-17 05:00:00,Market D,23.175,11.070543948056958,1
131406,2025-08-17 05:00:00,Market E,21.735,8.961921142690969,1
131407,2025-08-17 06:00:00,Market A,21.507,13.188006915438422,1
131408,2025-08-17 06:00:00,Market B,21.486,21.104676257102636,1
131409,2025-08-17 06:00:00,Market C,22.217,25.19054990713529,1
131410,2025-08-17 06:00:00,Market F,21.286,27.65871473366679,1
131411,2025-08-17 06:00:00,Market D,22.238,38.67271967921516,1
131412,2025-08-17 06:00:00,Market E,21.339,36.964557427986364,1
131413,2025-08-17 07:00:00,Market A,20.74,71.57991088398478,1
131414,2025-08-17 07:00:00,Market B,20.782,998.7649187425918,1
131415,2025-08-17 07:00:00,Market C,21.056,147.31469693094868,1
131416,2025-08-17 07:00:00,Market F,20.066,135.7496527712692,1
131417,2025-08-17 07:00:00,Market D,21.264,131.07738954514082,1
131418,2025-08-17 07:00:00,Market E,21.163,128.54873576658883,1
131419,2025-08-17 08:00:00,Market A,16.07,195.8130004511011,1
131420,2025-08-17 08:00:00,Market B,16.065,207.2451560319363,1
131421,2025-08-17 08:00:00,Market C,17.398,268.86919379731404,1
131422,2025-08-17 08:00:00,Market F,15.966,300.70310692049213,1
131423,2025-08-17 08:00:00,Market D,17.108,366.9919078545213,1
131424,2025-08-17 08:00:00,Market E,17.308,356.71632539224566,1
131425,2025-08-17 09:00:00,Market A,13.234,280.1404106907738,1
131426,2025-08-17 09:00:00,Market B,13.206,202.84202462403127,1
131427,2025-08-17 09:00:00,Market C,14.696,39.4733717397747,1
131428,2025-08-17 09:00:00,Market F,15.696,27.761705885364258,1
131429,2025-08-17 09:00:00,Market D,15.919,28.604465783347685,1
131430,2025-08-17 09:00:00,Market E,13.685,28.799832986645214,1
131431,2025-08-17 10:00:00,Market A,7.961,30.84973800625611,1
131432,2025-08-17 10:00:00,Market B,7.117,34.22893675760531,1
131433,2025-08-17 10:00:00,Market C,17.927,33.87532765882129,1
131434,2025-08-17 10:00:00,Market F,17.217,44.78305027342392,1
131435,2025-08-17 10:00:00,Market D,16.036,22.26153834911772,1
131436,2025-08-17 10:00:00,Market E,6.75,34.229383479254906,1
131437,2025-08-17 11:00:00,Market A,12.221,96.03632151209911,1
131438,2025-08-17 11:00:00,Market B,11.394,1517.2734887975273,1
131439,2025-08-17 11:00:00,Market C,27.177,190.64247544327986,1
131440,2025-08-17 11:00:00,Market F,27.451,232.9327997296285,1
131441,2025-08-17 11:00:00,Market D,25.576,205.30263635450555,1
