feature,mean_abs_shap
target_profile_mhd_mean,7.398122118729886
net_load_share,5.901319226794628
weekofyear,5.857875257172432
wind_speed_80m,3.470673616879596
load_forecast_roll_std_24,3.047568949956618
target_profile_mhd_std,2.9948426155154038
wind_speed_80m_cubed,2.6887711205652893
air_temperature_2m_xmk_mean,2.01524289318979
residual_load,1.7171801694636188
solar_forecast_roll_std_72,1.6171285878089583
surface_pressure,1.4312614068178307
solar_forecast_diff_1,1.3541036543414955
target_profile_mh_mean,1.344507787579734
residual_load_diff_24,1.241832055326369
wind_speed_10m,1.1481022074353249
residual_load_sq,1.1438569326199401
month_sin,1.1071817350000217
apparent_temperature_2m,1.0143096238254383
solar_forecast_roll_mean_24,0.9878917350870323
wind_speed_80m_xmk_mean,0.985573577977576
residual_load_roll_mean_24,0.8681968491999922
residual_load_diff_6,0.847763445255401
solar_forecast,0.7966535520855528
residual_load_lag_24,0.7471277970665064
wind_forecast_diff_24,0.7290511735233787
residual_load_lag_168,0.6332941821538965
wind_dir_cos,0.6288785658895935
target_profile_m_mean,0.6249177519652197
residual_load_roll_std_72,0.6141778875844772
wind_forecast_roll_std_72,0.6043334238063436
load_forecast_roll_mean_24,0.5893811377216968
temp_extreme_mag,0.577881593398399
wind_share,0.5738307370546155
residual_load_lag_1,0.5704326043220777
wind_forecast,0.5545537171445374
cloud_cover_total_xmk_mean,0.5341088182732232
solar_share,0.5242472448013178
wind_forecast_roll_std_6,0.49147284530591157
wind_forecast_roll_mean_24,0.49089244342786686
residual_load_1819,0.4869668684241524
temp_gap_18,0.4830925245622072
residual_load_roll_mean_72,0.4654095651589687
load_forecast_lag_2,0.4384983515023286
solar_forecast_roll_mean_72,0.42911513107256427
target_profile_m_std,0.4161942011727099
freezing_level_height,0.3972055050577851
residual_load_roll_std_24,0.3956909169536792
solar_forecast_lag_2,0.3913384491078222
wind_forecast_lag_48,0.3903329366244463
market,0.38866584047393227
solar_forecast_roll_std_24,0.38050685415730373
solar_forecast_diff_24,0.3785217858032141
residual_load_diff_1,0.37633542586601226
wind_forecast_roll_std_24,0.3724080453915733
load_forecast_lag_168,0.3541586137182092
solar_forecast_lag_168,0.3456499995778265
solar_forecast_lag_1,0.34115378460027157
month_x_market,0.3401064005338035
load_forecast_diff_6,0.3389888832557046
cdd_22,0.3211864847901983
wind_dir_sin,0.3169720538542628
load_forecast_roll_mean_72,0.31376229946879514
wind_forecast_roll_mean_72,0.31120159140013665
solar_forecast_roll_mean_6,0.3096061309169935
load_forecast_diff_24,0.30798987865490807
wind_forecast_diff_6,0.30511215072002246
load_forecast_roll_std_72,0.29488285251716523
temp_dew_spread,0.29348728658947715
lifted_index,0.29296728788528875
temp_apparent_gap,0.2926676419339362
wind_forecast_lag_168,0.29084638434978427
wind_forecast_diff_1,0.2864420928431255
residual_load_lag_48,0.2797748292094165
stress_ratio_1819,0.27795074949040777
load_forecast_lag_1,0.27409143222806165
air_temperature_2m_xmk_std,0.2703242176215184
wind_forecast_lag_24,0.26843963839370555
target_profile_mh_std,0.26690770643374967
solar_forecast_lag_24,0.2640644173787787
hdd_18,0.25846023332143836
residual_load_ramp_abs_24,0.25387916805321636
residual_load_lag_6,0.2475344849406712
wind_gust_speed_10m,0.243841662890713
convective_inhibition,0.2295688755295035
month_cos,0.22801865814412345
cloud_regime_ratio,0.22651558097133792
wet_bulb_temperature_2m,0.21609924312695303
solar_forecast_lag_6,0.21569564800445312
residual_load_roll_mean_6,0.21426664275987511
month,0.21407361807373604
load_forecast,0.2103465712893729
wind_speed_80m_xmk_diff,0.2077864341537427
solar_forecast_roll_std_6,0.20360158910732826
solar_forecast_lag_48,0.20353206358285217
dew_point_temperature_2m,0.20152423795852
