group_id,feature,group_size,corr_threshold
corr_0236486778,freezing_level_height,1,0.9
corr_0280883957,cloud_cover_high,1,0.9
corr_0325269136,cloud_cover_total_xmk_mean,1,0.9
corr_0483385472,precipitation_amount,1,0.9
corr_0597931175,net_load_share,1,0.9
corr_0720521319,load_forecast_xmk_std,1,0.9
corr_0853733107,stress_ratio_1819,1,0.9
corr_1041900743,target_profile_m_std,1,0.9
corr_1042849804,is_winter,1,0.9
corr_1173415209,is_evening_peak,2,0.9
corr_1173415209,is_peak_17_20,2,0.9
corr_1192924449,convective_available_potential_energy,1,0.9
corr_1299770772,residual_load_xmk_std,1,0.9
corr_1380390921,wind_forecast_lag_24,1,0.9
corr_1409983237,cloud_cover_total_xmk_std,1,0.9
corr_1446136015,air_temperature_2m_xmk_std,1,0.9
corr_1526553478,month_cos,1,0.9
corr_1542980212,load_forecast_roll_std_24,2,0.9
corr_1542980212,load_forecast_roll_std_72,2,0.9
corr_1683282849,load_forecast_xmk_diff,2,0.9
corr_1683282849,load_forecast_xmk_z,2,0.9
corr_1697724107,hour_cos,1,0.9
corr_1700838333,load_forecast_roll_mean_24,2,0.9
corr_1700838333,load_forecast_roll_mean_72,2,0.9
corr_2041109792,is_18_19,3,0.9
corr_2041109792,residual_load_1819,3,0.9
corr_2041109792,stress_ratio_1819,3,0.9
corr_2122015058,relative_humidity_2m,3,0.9
corr_2122015058,temp_dew_spread,3,0.9
corr_2122015058,visibility,3,0.9
corr_2157934635,wind_speed_80m_xmk_mean,1,0.9
corr_2158675435,residual_load_roll_std_24,1,0.9
corr_2227514340,hour_sin,1,0.9
corr_2275077728,solar_forecast_diff_1,1,0.9
corr_2366008779,wind_forecast_xmk_diff,2,0.9
corr_2366008779,wind_forecast_xmk_z,2,0.9
corr_2400414243,is_18_19,2,0.9
corr_2400414243,residual_load_1819,2,0.9
corr_2455784270,meteo_missing_any,1,0.9
corr_2560062090,diffuse_horizontal_irradiance,1,0.9
corr_2714073950,dow_cos,1,0.9
corr_2736960338,residual_load_diff_24,2,0.9
corr_2736960338,wind_forecast_diff_24,2,0.9
corr_2795231785,residual_load_lag_24,1,0.9
corr_2877043949,is_night,1,0.9
corr_2947925461,is_weekend,1,0.9
corr_3115657934,solar_forecast_roll_std_6,1,0.9
corr_3191339436,gustiness_10m,1,0.9
corr_3202476800,residual_load_diff_1,1,0.9
corr_3474841011,wind_forecast_lag_168,1,0.9
corr_3500398743,solar_forecast_diff_24,1,0.9
corr_3510735985,residual_load,7,0.9
corr_3510735985,residual_load_lag_1,7,0.9
corr_3510735985,residual_load_lag_2,7,0.9
corr_3510735985,residual_load_lag_6,7,0.9
corr_3510735985,residual_load_roll_mean_6,7,0.9
corr_3510735985,residual_load_sq,7,0.9
corr_3510735985,residual_load_xmk_mean,7,0.9
corr_3554533130,residual_load_lag_48,1,0.9
corr_3610666499,cloud_cover_low,1,0.9
corr_3680644634,solar_forecast_xmk_std,1,0.9
corr_3734381569,load_forecast_diff_24,1,0.9
corr_3800548161,cloud_cover_total_xmk_diff,1,0.9
corr_3812964350,target_profile_m_mean,1,0.9
corr_4124592631,wind_dir_sin,1,0.9
corr_4538094726,wind_forecast_roll_std_6,1,0.9
corr_4551744002,air_temperature_2m_xmk_diff,1,0.9
corr_4567847955,residual_load_roll_mean_24,2,0.9
corr_4567847955,residual_load_roll_mean_72,2,0.9
corr_4701171285,direct_normal_irradiance,2,0.9
corr_4701171285,global_horizontal_irradiance,2,0.9
corr_4744811163,clear_sky_proxy,1,0.9
corr_4744990440,solar_forecast,8,0.9
corr_4744990440,solar_forecast_lag_1,8,0.9
corr_4744990440,solar_forecast_lag_168,8,0.9
corr_4744990440,solar_forecast_lag_2,8,0.9
corr_4744990440,solar_forecast_lag_24,8,0.9
corr_4744990440,solar_forecast_lag_48,8,0.9
corr_4744990440,solar_forecast_xmk_mean,8,0.9
corr_4744990440,solar_share,8,0.9
corr_4783833261,dow,1,0.9
corr_4917508798,precipitation_amount_xmk_z,1,0.9
corr_4926823990,wind_forecast_diff_6,1,0.9
corr_5022224778,residual_load_roll_std_72,1,0.9
corr_5038114939,solar_forecast_xmk_diff,2,0.9
corr_5038114939,solar_forecast_xmk_z,2,0.9
corr_5239127947,load_forecast_lag_168,1,0.9
corr_5380429766,cloud_cover_mid,1,0.9
corr_5391452390,hour,1,0.9
corr_5451305703,solar_forecast_roll_mean_6,1,0.9
corr_5460799874,wind_forecast_diff_24,1,0.9
corr_5747658029,wind_forecast_lag_48,1,0.9
corr_5818992375,wind_speed_80m_xmk_diff,2,0.9
corr_5818992375,wind_speed_80m_xmk_z,2,0.9
corr_5952747283,stress_ratio,2,0.9
corr_5952747283,stress_ratio_sq,2,0.9
corr_6084651262,air_temperature_2m_xmk_z,1,0.9
corr_6181484385,precipitation_amount_xmk_diff,1,0.9
corr_6250982779,precipitation_amount_xmk_mean,2,0.9
corr_6250982779,precipitation_amount_xmk_std,2,0.9
corr_6268504841,cloud_cover_total_xmk_z,1,0.9
corr_6296024613,solar_forecast_lag_6,1,0.9
corr_6339531555,convective_inhibition,1,0.9
corr_6340545916,load_forecast_roll_std_6,1,0.9
corr_6413704013,month,2,0.9
corr_6413704013,weekofyear,2,0.9
corr_6568457392,residual_load_diff_24,1,0.9
corr_6639926484,load_forecast_diff_1,1,0.9
corr_6758112138,wind_gust_speed_10m,1,0.9
corr_6816881002,gust_ratio_10m,1,0.9
corr_6975375423,is_morning_peak,1,0.9
corr_6978208519,ws_ratio_80_10,1,0.9
corr_7003117927,month_sin,1,0.9
corr_7113557847,solar_forecast_diff_6,1,0.9
corr_7139348282,wind_forecast_roll_mean_72,1,0.9
corr_7206706905,wind_speed_80m,1,0.9
corr_7228722225,cloud_x_solar,1,0.9
corr_7260187677,load_forecast_diff_6,1,0.9
corr_7271407478,solar_forecast_roll_mean_24,4,0.9
corr_7271407478,solar_forecast_roll_mean_72,4,0.9
corr_7271407478,solar_forecast_roll_std_24,4,0.9
corr_7271407478,solar_forecast_roll_std_72,4,0.9
corr_7288168412,surface_pressure,1,0.9
corr_7670639915,meteo_missing_count,1,0.9
corr_7681259113,wind_forecast_roll_std_72,1,0.9
corr_7692105271,residual_load_diff_6,1,0.9
corr_7695254633,wind80_x_residual_load,1,0.9
corr_7747405953,wind_forecast_roll_std_24,1,0.9
corr_7756784459,wind_forecast,7,0.9
corr_7756784459,wind_forecast_lag_1,7,0.9
corr_7756784459,wind_forecast_lag_2,7,0.9
corr_7756784459,wind_forecast_lag_6,7,0.9
corr_7756784459,wind_forecast_roll_mean_6,7,0.9
corr_7756784459,wind_forecast_xmk_mean,7,0.9
corr_7756784459,wind_share,7,0.9
corr_8068499262,wind_dir_cos,1,0.9
corr_8074303396,target_profile_mh_mean,4,0.9
corr_8074303396,target_profile_mh_std,4,0.9
corr_8074303396,target_profile_mhd_mean,4,0.9
corr_8074303396,target_profile_mhd_std,4,0.9
corr_8165169951,residual_load_xmk_diff,2,0.9
corr_8165169951,residual_load_xmk_z,2,0.9
corr_8176627145,wind_speed_10m,1,0.9
corr_8242182285,wind_speed_80m_xmk_std,1,0.9
corr_8258561280,wind_forecast_diff_1,1,0.9
corr_8622857013,air_temperature_2m,6,0.9
corr_8622857013,air_temperature_2m_xmk_mean,6,0.9
corr_8622857013,apparent_temperature_2m,6,0.9
corr_8622857013,dew_point_temperature_2m,6,0.9
corr_8622857013,lifted_index,6,0.9
corr_8622857013,wet_bulb_temperature_2m,6,0.9
corr_8888435152,dow_sin,1,0.9
corr_9059684305,residual_load_lag_168,1,0.9
corr_9128207942,temp_apparent_gap,1,0.9
corr_9272111714,load_forecast,8,0.9
corr_9272111714,load_forecast_lag_1,8,0.9
corr_9272111714,load_forecast_lag_2,8,0.9
corr_9272111714,load_forecast_lag_24,8,0.9
corr_9272111714,load_forecast_lag_48,8,0.9
corr_9272111714,load_forecast_lag_6,8,0.9
corr_9272111714,load_forecast_roll_mean_6,8,0.9
corr_9272111714,load_forecast_xmk_mean,8,0.9
corr_9337176525,residual_load_roll_std_6,1,0.9
corr_9625579007,wind_direction_80m,1,0.9
corr_9664906132,wind_forecast_xmk_std,1,0.9
corr_9826885691,cloud_cover_total,1,0.9
corr_9954955942,wind_forecast_roll_mean_24,1,0.9
corr_9989339831,cloud_low_share,1,0.9
