feature,mean_abs_shap
weekofyear,5.811041508287993
wind_speed_80m,5.3096851245889765
net_load_share,4.414578797227987
target_profile_mhd_std,4.389161096140138
target_profile_mhd_mean,3.790123807574344
air_temperature_2m_xmk_mean,3.689725980796427
residual_load_diff_24,3.3809802760551464
solar_forecast_lag_168,3.228442161424455
surface_pressure,3.20768054668593
residual_load_lag_1,3.1291749233974637
load_forecast_roll_std_24,2.23476744096901
residual_load,2.0157032521061957
load_forecast_lag_2,1.8610991253608964
apparent_temperature_2m,1.5536971454293653
air_temperature_2m,1.4719319025381143
wind_forecast_lag_24,1.3487363104596788
residual_load_xmk_mean,1.321577525411982
wind_speed_80m_xmk_mean,1.3192112370244573
residual_load_lag_24,1.2997972179385249
residual_load_lag_2,1.2904159160415216
target_profile_m_mean,1.280999760152201
wind_gust_speed_10m,1.1523680931118663
target_profile_mh_mean,1.106228402962584
residual_load_diff_1,1.084299223098177
solar_forecast_diff_1,1.0653300986104277
residual_load_roll_std_72,1.0519121130387603
residual_load_roll_std_24,1.0440766749258468
solar_forecast_roll_mean_24,1.012703434796612
load_forecast_roll_mean_24,1.0125082404839212
solar_share,0.9882708735284044
residual_load_diff_6,0.982947737118125
load_forecast_roll_mean_72,0.9814273189805969
wind_forecast_roll_mean_24,0.9570495847410455
residual_load_sq,0.93716174700827
load_forecast_lag_168,0.8875066966494358
solar_forecast_roll_std_72,0.8649704714467892
wind_forecast_diff_24,0.8134948086286613
wind_speed_10m,0.7994789410163833
market,0.7947257856123098
wind_dir_cos,0.7898750168339516
solar_forecast_roll_std_24,0.7800428918023614
air_temperature_2m_xmk_std,0.7799815341900521
residual_load_lag_48,0.7755059986760307
residual_load_roll_mean_72,0.7210565469428865
solar_forecast_diff_24,0.7100729857449216
wind_forecast_roll_std_24,0.6967663073011396
solar_forecast_roll_mean_72,0.6929063428774621
wind_forecast_lag_6,0.6698964337143736
wind_forecast_roll_std_6,0.6698576767802262
load_forecast_roll_mean_6,0.6670540259956054
month_sin,0.6645002546577903
wind_forecast_diff_1,0.6622114341186537
solar_forecast_xmk_mean,0.6508282012438978
wind_forecast_lag_2,0.6467104679934633
target_profile_m_std,0.5986047962642768
residual_load_roll_mean_24,0.5981179320933222
residual_load_1819,0.580098828339473
ws_ratio_80_10,0.55326939449495
residual_load_lag_168,0.5515631516739756
wet_bulb_temperature_2m,0.5358514467646364
solar_forecast,0.5062968206693347
wind_forecast_diff_6,0.5057542625500615
freezing_level_height,0.4643874045670237
load_forecast,0.46223992910005657
month_x_market,0.4603060402932932
wind_forecast_roll_std_72,0.4397284904424138
