market,feature,mean_abs_shap
Market A,global_pred_feature,39.709619109315895
Market A,solar_forecast,3.9710683621265135
Market A,dew_point_temperature_2m,3.4619276146299383
Market A,temp_apparent_gap,2.7169238941754936
Market A,wind_gust_speed_10m,2.58014125003543
Market A,solar_forecast_roll_mean_24,2.1321747480695232
Market A,freezing_level_height,1.928750813059673
Market A,solar_forecast_lag_1,1.7569393937767754
Market A,temp_dew_spread,1.593626234966717
Market A,diffuse_horizontal_irradiance,1.5730323312744137
Market A,ws_ratio_80_10,1.302925837119971
Market A,residual_load_roll_mean_24,1.2677041494633976
Market A,wind_forecast_lag_1,1.1868415940222823
Market A,wind_dir_cos,1.1624488540051459
Market A,wind_forecast,1.1400309955472323
Market A,wind_forecast_lag_6,1.1061960876034245
Market A,residual_load_lag_1,1.0941887307023817
Market A,gust_ratio_10m,1.0814213120087153
Market A,direct_normal_irradiance,0.9868356599918271
Market A,load_forecast,0.9768355137943562
Market A,solar_forecast_lag_2,0.9615171801594458
Market A,load_forecast_roll_mean_24,0.9551541108338624
Market A,wind_forecast_roll_mean_24,0.9364624316429471
Market A,wind_forecast_diff_6,0.920534869299685
Market A,global_horizontal_irradiance,0.8879554973066607
Market A,wind_speed_10m,0.8648870698593093
Market A,wind_forecast_lag_2,0.8499399990589446
Market A,wind_direction_80m,0.8396396822141245
Market A,load_forecast_lag_6,0.8101817801542468
Market A,relative_humidity_2m,0.8048841665982661
Market A,wind_forecast_diff_1,0.7568917963529199
Market A,wind_speed_80m,0.7408491131376223
Market A,air_temperature_2m,0.7334943269208598
Market A,load_forecast_lag_1,0.7152111322756945
Market A,apparent_temperature_2m,0.6967141843723625
Market A,cloud_cover_total,0.6682234848107523
Market A,wind_dir_sin,0.6528849416162517
Market A,gustiness_10m,0.6154013286689993
Market A,wind_forecast_roll_mean_6,0.6046774789428088
Market A,solar_forecast_lag_6,0.5837072669621245
Market A,residual_load_lag_2,0.5168107401343233
Market A,solar_forecast_roll_mean_6,0.5013529033805968
Market A,load_forecast_lag_2,0.45754011597792466
Market A,solar_forecast_diff_1,0.41512330771935246
Market A,residual_load_lag_6,0.36422593097900907
Market A,convective_available_potential_energy,0.33749443891997544
Market A,load_forecast_roll_mean_6,0.3362797892768057
Market A,residual_load_roll_mean_6,0.2508732640719509
Market A,clear_sky_proxy,0.23175426323207005
Market A,cloud_low_share,0.22429605501298638
Market A,convective_inhibition,0.20043059271443017
Market A,cloud_cover_low,0.19640742082328225
Market A,precipitation_amount,0.03225905640560853
Market B,global_pred_feature,9.936967997541016
Market B,temp_apparent_gap,1.604447039039168
Market B,residual_load_lag_2,1.1945632295175828
Market B,wind_dir_cos,1.0053986483482027
Market B,wind_forecast,0.9404076253127965
Market B,wind_forecast_lag_1,0.8902372497365869
Market B,freezing_level_height,0.8290009624292634
Market B,solar_forecast_diff_1,0.8265750494026369
Market B,load_forecast,0.7833581232104885
Market B,solar_forecast_roll_mean_24,0.7129241982278781
Market B,wind_speed_80m,0.7088026879687065
Market B,wind_forecast_diff_6,0.6818583136402614
Market B,wind_forecast_lag_2,0.5866122420667156
Market B,gustiness_10m,0.4446062839172308
Market B,wind_speed_10m,0.42146907989066046
Market B,dew_point_temperature_2m,0.4202599045324574
Market B,convective_inhibition,0.3988317405390695
Market B,residual_load_lag_1,0.38961402430486963
Market B,cloud_cover_total,0.3860935408466204
Market B,diffuse_horizontal_irradiance,0.3828801819832776
Market B,load_forecast_roll_mean_24,0.3770044434088469
Market B,wind_forecast_roll_mean_24,0.371911932108058
Market B,gust_ratio_10m,0.3326440232294348
Market B,ws_ratio_80_10,0.3318909546969695
Market B,solar_forecast,0.3249652379825831
Market B,solar_forecast_lag_6,0.3084159531567192
Market B,wind_forecast_lag_6,0.3038804816337774
Market B,solar_forecast_lag_2,0.2951395469844141
Market B,wind_dir_sin,0.28957483011936364
Market B,residual_load_roll_mean_24,0.2853577303096076
Market B,apparent_temperature_2m,0.2802204344925802
Market B,global_horizontal_irradiance,0.2737793722416516
Market B,air_temperature_2m,0.2608239701382446
Market B,wind_gust_speed_10m,0.2495603420894489
Market B,wind_forecast_roll_mean_6,0.24852582122939165
Market B,temp_dew_spread,0.24718219684242018
Market B,residual_load_lag_6,0.24569472796372735
Market B,wind_direction_80m,0.22082217142097105
Market B,load_forecast_lag_1,0.21893311291433357
Market B,load_forecast_lag_6,0.2171857785126029
Market B,wind_forecast_diff_1,0.20723781287867724
Market B,convective_available_potential_energy,0.2056618832506466
Market B,solar_forecast_lag_1,0.16419806660587294
Market B,load_forecast_lag_2,0.15213329299834463
Market B,clear_sky_proxy,0.15026511167569742
