group_id,group_size,mean_delta,median_delta,std_delta,positive_fold_count
corr_2509418395,1,28.786862328830484,36.69198016750981,28.556171390194546,3
corr_3285871255,1,14.340322730229332,8.737479109584456,14.114451921411574,5
corr_2275077728,1,9.564246971682499,5.759403452649941,15.990885698945393,4
corr_3117243768,1,9.435385604341834,2.3098517607732205,15.42846523337371,5
corr_9954955942,1,8.20338767953086,5.297299682402382,10.826996754626132,5
corr_8639525639,1,7.757091409215953,7.286612564441846,10.729363422664893,3
corr_1343014976,2,6.637633304867164,7.671656838758679,8.22909327609996,3
corr_8634248168,4,5.211016885787887,0.9071532346379527,8.426947055960529,4
corr_0886650671,4,2.6359349153236806,1.985175233432642,11.172597648453001,4
corr_9476414212,1,2.01934633755985,0.20765834334203248,4.025165862186505,3
corr_6339531555,1,1.7949386274849701,0.04978972829894701,5.72936868531966,3
corr_6196007373,3,1.5512756939486878,5.904627187485033,8.50545772082813,3
corr_1623867630,1,1.2347432749528053,0.5833295578231912,1.9339720136444412,4
corr_3191339436,1,1.1405917883885224,-0.06481175417801666,2.8344061554676423,2
corr_4430662294,1,0.5693800919253036,-0.009224041648089099,3.197836469469877,2
corr_4124592631,1,0.5346688184713727,0.36422072494944757,0.8379044191572412,3
corr_5451305703,1,0.5160894767342341,0.5437178160263372,0.29172834938700515,5
corr_6816881002,1,0.5126211854160687,-0.11853530471123008,1.5239092550463909,1
corr_0236486778,1,0.4345399218169561,-0.11934845523555992,1.8179561996322895,1
corr_5023244165,1,0.3854384357727966,0.30777064185571845,0.5510742160915919,4
corr_9128207942,1,0.3718954920375282,0.01911154753495481,1.0586445423972903,3
corr_3385211174,1,0.33505462242293194,0.6755460423114528,0.7385735213162242,4
corr_4926823990,1,0.2190882840740528,-0.054502110061697806,8.905787156984733,2
corr_3610666499,1,0.08488507468724152,0.04585145206365837,0.11569564329290989,4
corr_9989339831,1,0.016488624026951015,-0.007791036200949009,0.1840281015651708,2
corr_0483385472,1,0.011944682455634847,0.0007817687271227669,0.03659561052294551,3
corr_6296024613,1,-0.05269482935236027,0.04612703575801902,0.5746246626730642,3
corr_9625579007,1,-0.15837198866954055,-0.011447281259890474,0.3081554825890628,1
corr_8176627145,1,-0.1657381791420832,-0.36866597671200907,0.3417429716867497,1
corr_9810209215,1,-0.29831314053838726,0.030085894569765514,0.883661520362252,3
corr_1357953899,1,-0.34079832236732843,-0.16320135270323277,0.3705145693958754,0
corr_4744811163,1,-0.34384455453170804,-0.21242401961482926,0.3537987871512811,1
corr_2560062090,1,-0.35340648651305456,-0.23470478932769367,0.48934372969003853,1
corr_1415424846,1,-0.6059236161818461,0.010054227181939268,1.4524131004119174,4
corr_1192924449,1,-0.6748710278005958,0.11824385007282956,2.515627081385195,3
corr_9340067769,2,-0.8823067725670896,-0.151570698236263,2.6534789034017456,2
corr_6758112138,1,-1.1291451898863953,-0.1950026320013052,2.3201523687911583,1
corr_8258561280,1,-1.6101478549952675,-0.062109232554881544,2.4062044848893422,1
corr_8068499262,1,-1.8975121525706158,-0.07284203211013107,3.891020671043237,1
corr_9826885691,1,-1.926032144786781,0.03661265057711205,2.9704247452602273,3
corr_7206706905,1,-1.964394174160296,-0.5038833584796834,3.2543671865455943,1
corr_6978208519,1,-2.122778976085411,-1.615687175357408,2.233645843562548,0
